age,sex,state,value
M_18to24Years,M,Indiana,336559
M_25to34Years,M,Indiana,441929
M_35to44Years,M,Indiana,423372
M_45to54Years,M,Indiana,420733
M_55to64Years,M,Indiana,433858
M_65to74Years,M,Indiana,301294
M_75to84Years,M,Indiana,127233
M_85YearsandOver,M,Indiana,43966
M_Under5Years,M,Iowa,99307
M_5to9Years,M,Iowa,105743
M_10to14Years,M,Iowa,108860
M_15to17Years,M,Iowa,65647
M_18to24Years,M,Iowa,163285
M_25to34Years,M,Iowa,201396
M_35to44Years,M,Iowa,201886
M_45to54Years,M,Iowa,188639
M_55to64Years,M,Iowa,209780
M_65to74Years,M,Iowa,152458
M_75to84Years,M,Iowa,66406
M_85YearsandOver,M,Iowa,26594
M_Under5Years,M,Kansas,95187
M_5to9Years,M,Kansas,104105
M_10to14Years,M,Kansas,104313
M_15to17Years,M,Kansas,62942
M_18to24Years,M,Kansas,154246
M_25to34Years,M,Kansas,193833
M_35to44Years,M,Kansas,186672
M_45to54Years,M,Kansas,170798
M_55to64Years,M,Kansas,185544
M_65to74Years,M,Kansas,132021
M_75to84Years,M,Kansas,56124
M_85YearsandOver,M,Kansas,22367
M_Under5Years,M,Kentucky,139220
M_5to9Years,M,Kentucky,144884
M_10to14Years,M,Kentucky,149328
M_15to17Years,M,Kentucky,91259
M_18to24Years,M,Kentucky,215116
M_25to34Years,M,Kentucky,294612
M_35to44Years,M,Kentucky,281148
M_45to54Years,M,Kentucky,286360
M_55to64Years,M,Kentucky,293125
M_65to74Years,M,Kentucky,212674
M_75to84Years,M,Kentucky,90249
M_85YearsandOver,M,Kentucky,25808
M_Under5Years,M,Louisiana,151391
M_5to9Years,M,Louisiana,153155
M_10to14Years,M,Louisiana,162798
M_15to17Years,M,Louisiana,94784
M_18to24Years,M,Louisiana,215072
M_25to34Years,M,Louisiana,321954
M_35to44Years,M,Louisiana,298693
M_45to54Years,M,Louisiana,272146
M_55to64Years,M,Louisiana,293109
M_65to74Years,M,Louisiana,206992
M_75to84Years,M,Louisiana,84806
M_85YearsandOver,M,Louisiana,28661
M_Under5Years,M,Maine,32899
M_5to9Years,M,Maine,35609
M_10to14Years,M,Maine,38348
M_15to17Years,M,Maine,24154
M_18to24Years,M,Maine,54992
M_25to34Years,M,Maine,81330
M_35to44Years,M,Maine,78454
M_45to54Years,M,Maine,88903
M_55to64Years,M,Maine,104428
M_65to74Years,M,Maine,82589
M_75to84Years,M,Maine,35269
M_85YearsandOver,M,Maine,11333
M_Under5Years,M,Maryland,185279
M_5to9Years,M,Maryland,191750
M_10to14Years,M,Maryland,204033
M_15to17Years,M,Maryland,120450
M_18to24Years,M,Maryland,270938
M_25to34Years,M,Maryland,412275
M_35to44Years,M,Maryland,395351
M_45to54Years,M,Maryland,398574
M_55to64Years,M,Maryland,401452
M_65to74Years,M,Maryland,261463
M_75to84Years,M,Maryland,114345
M_85YearsandOver,M,Maryland,39236
M_Under5Years,M,Massachusetts,183397
M_5to9Years,M,Massachusetts,189716
M_10to14Years,M,Massachusetts,208481
M_15to17Years,M,Massachusetts,129924
M_18to24Years,M,Massachusetts,345976
M_25to34Years,M,Massachusetts,495954
M_35to44Years,M,Massachusetts,432400
M_45to54Years,M,Massachusetts,450590
M_55to64Years,M,Massachusetts,468917
M_65to74Years,M,Massachusetts,318673
M_75to84Years,M,Massachusetts,134840
M_85YearsandOver,M,Massachusetts,54306
M_Under5Years,M,Michigan,288862
M_5to9Years,M,Michigan,306114
M_10to14Years,M,Michigan,324974
M_15to17Years,M,Michigan,202816
M_18to24Years,M,Michigan,484335
M_25to34Years,M,Michigan,658800
M_35to44Years,M,Michigan,597211
M_45to54Years,M,Michigan,638651
M_55to64Years,M,Michigan,696811
M_65to74Years,M,Michigan,498907
M_75to84Years,M,Michigan,211710
M_85YearsandOver,M,Michigan,74134
M_Under5Years,M,Minnesota,178137
M_5to9Years,M,Minnesota,190312
M_10to14Years,M,Minnesota,193180
M_15to17Years,M,Minnesota,115182
M_18to24Years,M,Minnesota,253407
M_25to34Years,M,Minnesota,385927
M_35to44Years,M,Minnesota,377602
M_45to54Years,M,Minnesota,349494
M_55to64Years,M,Minnesota,381387
M_65to74Years,M,Minnesota,260417
M_75to84Years,M,Minnesota,111717
M_85YearsandOver,M,Minnesota,42373
M_Under5Years,M,Mississippi,93586
M_5to9Years,M,Mississippi,93551
M_10to14Years,M,Mississippi,110455
M_15to17Years,M,Mississippi,63283
M_18to24Years,M,Mississippi,145668
M_25to34Years,M,Mississippi,187783
M_35to44Years,M,Mississippi,181643
M_45to54Years,M,Mississippi,176219
M_55to64Years,M,Mississippi,183705
M_65to74Years,M,Mississippi,134243
M_75to84Years,M,Mississippi,58641
M_85YearsandOver,M,Mississippi,15478
M_Under5Years,M,Missouri,188129
M_5to9Years,M,Missouri,196550
M_10to14Years,M,Missouri,205388
M_15to17Years,M,Missouri,123453
M_18to24Years,M,Missouri,286303
