Statistics,TotalPopulationBySex,MalePop,M_Under5Years,M_5to9Years,M_10to14Years,M_15to17Years,M_18to24Years,M_25to34Years,M_35to44Years,M_45to54Years,M_55to64Years,M_65to74Years,M_75to84Years,M_85YearsandOver,FemalePop,F_Under5Years,F_5to9Years,F_10to14Years,F_15to17Years,F_18to24Years,F_25to34Years,F_35to44Years,F_45to54Years,F_55to64Years,F_65to74Years,F_75to84Years,F_85YearsandOver,TotalEmpStat_Pop16YearsandOver,TotalEmpStat_InLaborForce,TotalEmpStat_InArmedForces,TotalEmpStat_Civilian,TotalEmpStat_Employed,TotalEmpStat_Unemployed,TotalEmpStat_NotinLaborForce,MaleEmpStat_Pop16YearsandOver,MaleEmpStat_InLaborForce,MaleEmpStat_InArmedForces,MaleEmpStat_Civilian,MaleEmpStat_Employed,MaleEmpStat_Unemployed,MaleEmpStat_NotinLaborForce,FemEmpStat_Pop16YearsandOver,FemEmpStat_InLaborForce,FemEmpStat_InArmedForces,FemEmpStat_Civilian,FemEmpStat_Employed,FemEmpStat_Unemployed,FemEmpStat_NotinLaborForce,TotalEmpSec_EmployedCivilianPop16YearsandOver,TotalEmpSec_PrivateSector,TotalEmpSec_PublicSector,TotalEmpSec_SelfEmployed,TotalEmpSec_PrivateNonProfit,TotalEmpSec_UnpaidFamilyWorkers,MaleEmpSec_EmployedCivilianPop16YearsandOver,MaleEmpSec_PrivateSector,MaleEmpSec_PublicSector,MaleEmpSec_SelfEmployed,MaleEmpSec_PrivateNonProfit,MaleEmpSec_UnpaidFamilyWorkers,FemEmpSec_EmployedCivilianPop16YearsandOver,FemEmpSec_PrivateSector,FemEmpSec_PublicSector,FemEmpSec_SelfEmployed,FemEmpSec_PrivateNonProfit,FemEmpSec_UnpaidFamilyWorkers,Total_EmpCivPop16andup,Total_ManagementBusinessandFinancialOperations,Total_ProfessionalandRelated,Total_HealthcareSupport ,Total_ProtectiveService,Total_FoodPrepandServing,Total_BuildingandGroundsCleaningandMaintenance  ,Total_PersonalCareandService,Total_SalesandRelated,Total_OfficeandAdminSupport,Total_FarmingFishingandForestry,Total_ConstructionExtractionandMaintenance,Total_Production,Total_TranspoandMaterialMoving,MaleEmpCivPop16andup,Male_ManagementBusinessandFinancialOperations,Male_ProfessionalandRelated,Male_HealthcareSupport ,Male_ProtectiveService,Male_FoodPrepandServing,Male_BuildingandGroundsCleaningandMaintenance  ,Male_PersonalCareandService,Male_SalesandRelated,Male_OfficeandAdminSupport,Male_FarmingFishingandForestry,Male_ConstructionExtractionandMaintenance,Male_Production,Male_TranspoandMaterialMoving,FemEmpCivPop16andup,Fem_ManagementBusinessandFinancialOperations,Fem_ProfessionalandRelated,Fem_HealthcareSupport ,Fem_ProtectiveService,Fem_FoodPrepandServing,Fem_BuildingandGroundsCleaningandMaintenance  ,Fem_PersonalCareandService,Fem_SalesandRelated,Fem_OfficeandAdminSupport,Fem_FarmingFishingandForestry,Fem_ConstructionExtractionandMaintenance,Fem_Production,Fem_TranspoandMaterialMoving
Georgia,10625615,5191616,329092,350442,385435,228016,518757,721328,686105,690137,631328,424233,175792,50951,5433999,314626,335684,369232,219670,498805,740657,722751,720678,683040,500530,233171,95155,8385039,5329864,55268,5274596,4983753,290843,3055175,4047719,2766759,47925,2718834,2576175,142659,1280960,4337320,2563105,7343,2555762,2407578,148184,1774215,4983753,3464803,710978,491930,306808,9234,2576175,1867420,288441,307698,107374,5242,2407578,1597383,422537,184232,199434,3992,4983753,832782,1130593,118973,108981,261220,176805,118456,516750,558220,22929,407832,292543,437669,2576175,449842,459129,14441,76542,115473,108598,28858,250290,138316,16878,390050,193327,334431,2407578,382940,671464,104532,32439,145747,68207,89598,266460,419904,6051,17782,99216,103238
Hawaii,1453498,732172,45527,44814,45331,24728,66691,105291,96263,88254,92087,75726,33531,13929,721326,42240,42166,42674,23540,55365,97249,92182,86904,93403,79928,40383,25292,1174511,764801,47348,717453,680301,37152,409710,588065,407564,40082,367482,347922,19560,180501,586446,357237,7266,349971,332379,17592,229209,680301,406389,141942,74140,56277,1553,347922,214308,70807,42165,19973,669,332379,192081,71135,31975,36304,884,680301,98313,151015,19125,22068,53514,36390,21777,70547,82395,5267,57414,16953,45523,347922,50307,65468,2613,18417,27985,21727,8336,28405,19927,3575,55303,11251,34608,332379,48006,85547,16512,3651,25529,14663,13441,42142,62468,1692,2111,5702,10915
Idaho,1811617,912529,58614,65157,69888,41468,86930,119690,118420,105995,109439,87447,38358,11123,899088,56355,61224,66826,39298,80660,115613,114768,101830,112344,90572,41927,17671,1405245,887977,4918,883059,847426,35633,517268,704549,485200,4056,481144,461115,20029,219349,700696,402777,862,401915,386311,15604,297919,847426,553892,125682,103887,61567,2398,461115,316321,56642,63141,23829,1182,386311,237571,69040,40746,37738,1216,847426,127925,181660,28638,14309,48198,30489,20711,83071,97527,18569,84097,47301,64931,461115,75845,77579,4546,11269,20121,18992,4158,44453,22635,15009,80782,34141,51585,386311,52080,104081,24092,3040,28077,11497,16553,38618,74892,3560,3315,13160,13346
Illinois,12821813,6332176,381213,397940,433292,262755,594874,882628,843768,819285,826202,559618,243598,87003,6489637,364468,383394,413063,251226,574710,868914,832953,821198,857195,630669,323653,168194,10275978,6705184,18670,6686514,6273473,413041,3570794,5031810,3522495,15056,3507439,3285186,222253,1509315,5244168,3182689,3614,3179075,2988287,190788,2061479,6273473,4366740,782322,533707,579814,10890,3285186,2405804,338054,338397,197209,5722,2988287,1960936,444268,195310,382605,5168,6273473,1082773,1472420,200900,139808,324587,205592,168081,613363,696766,19157,431363,382655,536008,3285186,590968,619586,27070,105352,148851,128165,37740,312989,180770,15476,416882,274557,426780,2988287,491805,852834,173830,34456,175736,77427,130341,300374,515996,3681,14481,108098,109228
Indiana,6751340,3344360,213036,222731,237190,142459,336559,441929,423372,420733,433858,301294,127233,43966,3406980,202506,213179,225170,135816,321480,437003,420081,418213,448478,335267,166340,83447,5343229,3416171,4758,3411413,3250923,160490,1927058,2621864,1803043,4239,1798804,1712086,86718,818821,2721365,1613128,519,1612609,1538837,73772,1108237,3250923,2322818,358797,249599,314322,5387,1712086,1298968,154134,156710,99378,2896,1538837,1023850,204663,92889,214944,2491,3250923,469829,699309,95728,56278,178263,107577,76118,291199,364140,12077,268166,331658,300581,1712086,261557,279027,10692,43580,69380,65457,15787,143257,87120,9578,258686,233869,234096,1538837,208272,420282,85036,12698,108883,42120,60331,147942,277020,2499,9480,97789,66485
Iowa,3179090,1590001,99307,105743,108860,65647,163285,201396,201886,188639,209780,152458,66406,26594,1589089,95263,99107,106302,61946,153746,193335,190776,183192,210338,160760,86783,47541,2523649,1689338,2642,1686696,1620796,65900,834311,1254676,893707,2312,891395,855577,35818,360969,1268973,795631,330,795301,765219,30082,473342,1620796,1092149,222972,161843,140550,3282,855577,612561,92643,106226,42275,1872,765219,479588,130329,55617,98275,1410,1620796,257049,352131,49644,22083,85058,51598,44964,149897,176267,18807,137187,135227,140884,855577,145281,136788,6145,16613,33623,31218,7492,76513,41913,15252,133055,97002,114682,765219,111768,215343,43499,5470,51435,20380,37472,73384,134354,3555,4132,38225,26202
Kansas,2932099,1468152,95187,104105,104313,62942,154246,193833,186672,170798,185544,132021,56124,22367,1463947,90089,98651,99835,59029,141751,184148,179951,166457,190520,141352,72067,40097,2299477,1530430,18367,1512063,1450216,61847,769047,1143513,816035,16374,799661,765976,33685,327478,1155964,714395,1993,712402,684240,28162,441569,1450216,959684,233112,137895,116368,3157,765976,541733,99903,87160,35578,1602,684240,417951,133209,50735,80790,1555,1450216,234371,342311,44726,26568,76008,49959,37359,133611,160349,13368,123082,99544,108960,765976,133926,137662,5693,21279,31785,30419,7159,68740,38548,11134,118106,73229,88296,684240,100445,204649,39033,5289,44223,19540,30200,64871,121801,2234,4976,26315,20664
Kentucky,4494141,2223783,139220,144884,149328,91259,215116,294612,281148,286360,293125,212674,90249,25808,2270358,131639,134664,146208,84707,203552,287128,279778,286676,309886,237606,119685,48829,3588209,2135988,14108,2121880,2009185,112695,1452221,1759011,1123279,12443,1110836,1049398,61438,635732,1829198,1012709,1665,1011044,959787,51257,816489,2009185,1390589,288706,165458,158960,5472,1049398,768024,120890,107027,50348,3109,959787,622565,167816,58431,108612,2363,2009185,280806,437271,57868,39777,105288,66801,48191,189905,232685,11652,166512,179882,192547,1049398,152959,162924,6753,31318,40056,41508,11685,91867,59169,9777,160847,128277,152258,959787,127847,274347,51115,8459,65232,25293,36506,98038,173516,1875,5665,51605,40289
Louisiana,4657305,2283561,151391,153155,162798,94784,215072,321954,298693,272146,293109,206992,84806,28661,2373744,145968,147702,155675,89610,207295,325281,302520,283509,314197,236480,115243,50264,3679521,2179709,19503,2160206,2013907,146299,1499812,1785133,1132844,16709,1116135,1035878,80257,652289,1894388,1046865,2794,1044071,978029,66042,847523,2013907,1360650,311087,201925,136653,3592,1035878,736995,124318,128275,44385,1905,978029,623655,186769,73650,92268,1687,2013907,273507,457984,70141,53956,120954,76704,51791,209060,219333,10350,211143,104409,154575,1035878,147364,168288,7424,39150,49671,42432,13098,95556,44964,8459,204194,87696,127582,978029,126143,289696,62717,14806,71283,34272,38693,113504,174369,1891,6949,16713,26993
Maine,1357046,668308,32899,35609,38348,24154,54992,81330,78454,88903,104428,82589,35269,11333,688738,31033,33921,35708,22913,52569,80921,79853,90204,109986,88670,42366,20594,1134793,713221,1871,711350,681187,30163,421572,553957,367321,1687,365634,348450,17184,186636,580836,345900,184,345716,332737,12979,234936,681187,406079,92622,87097,94177,1212,348450,219824,42225,56209,29695,497,332737,186255,50397,30888,64482,715,681187,106616,164028,26918,11664,35606,24487,17200,64303,75829,10071,62028,35884,46553,348450,54573,63641,3546,9802,14454,14732,3197,31765,18799,8659,60062,26624,38596,332737,52043,100387,23372,1862,21152,9755,14003,32538,57030,1412,1966,9260,7957
