Statistics,TotalPopulationBySex,MalePop,M_Under5Years,M_5to9Years,M_10to14Years,M_15to17Years,M_18to24Years,M_25to34Years,M_35to44Years,M_45to54Years,M_55to64Years,M_65to74Years,M_75to84Years,M_85YearsandOver,FemalePop,F_Under5Years,F_5to9Years,F_10to14Years,F_15to17Years,F_18to24Years,F_25to34Years,F_35to44Years,F_45to54Years,F_55to64Years,F_65to74Years,F_75to84Years,F_85YearsandOver,TotalEmpStat_Pop16YearsandOver,TotalEmpStat_InLaborForce,TotalEmpStat_InArmedForces,TotalEmpStat_Civilian,TotalEmpStat_Employed,TotalEmpStat_Unemployed,TotalEmpStat_NotinLaborForce,MaleEmpStat_Pop16YearsandOver,MaleEmpStat_InLaborForce,MaleEmpStat_InArmedForces,MaleEmpStat_Civilian,MaleEmpStat_Employed,MaleEmpStat_Unemployed,MaleEmpStat_NotinLaborForce,FemEmpStat_Pop16YearsandOver,FemEmpStat_InLaborForce,FemEmpStat_InArmedForces,FemEmpStat_Civilian,FemEmpStat_Employed,FemEmpStat_Unemployed,FemEmpStat_NotinLaborForce,TotalEmpSec_EmployedCivilianPop16YearsandOver,TotalEmpSec_PrivateSector,TotalEmpSec_PublicSector,TotalEmpSec_SelfEmployed,TotalEmpSec_PrivateNonProfit,TotalEmpSec_UnpaidFamilyWorkers,MaleEmpSec_EmployedCivilianPop16YearsandOver,MaleEmpSec_PrivateSector,MaleEmpSec_PublicSector,MaleEmpSec_SelfEmployed,MaleEmpSec_PrivateNonProfit,MaleEmpSec_UnpaidFamilyWorkers,FemEmpSec_EmployedCivilianPop16YearsandOver,FemEmpSec_PrivateSector,FemEmpSec_PublicSector,FemEmpSec_SelfEmployed,FemEmpSec_PrivateNonProfit,FemEmpSec_UnpaidFamilyWorkers,Total_EmpCivPop16andup,Total_ManagementBusinessandFinancialOperations,Total_ProfessionalandRelated,Total_HealthcareSupport ,Total_ProtectiveService,Total_FoodPrepandServing,Total_BuildingandGroundsCleaningandMaintenance  ,Total_PersonalCareandService,Total_SalesandRelated,Total_OfficeandAdminSupport,Total_FarmingFishingandForestry,Total_ConstructionExtractionandMaintenance,Total_Production,Total_TranspoandMaterialMoving,MaleEmpCivPop16andup,Male_ManagementBusinessandFinancialOperations,Male_ProfessionalandRelated,Male_HealthcareSupport ,Male_ProtectiveService,Male_FoodPrepandServing,Male_BuildingandGroundsCleaningandMaintenance  ,Male_PersonalCareandService,Male_SalesandRelated,Male_OfficeandAdminSupport,Male_FarmingFishingandForestry,Male_ConstructionExtractionandMaintenance,Male_Production,Male_TranspoandMaterialMoving,FemEmpCivPop16andup,Fem_ManagementBusinessandFinancialOperations,Fem_ProfessionalandRelated,Fem_HealthcareSupport ,Fem_ProtectiveService,Fem_FoodPrepandServing,Fem_BuildingandGroundsCleaningandMaintenance  ,Fem_PersonalCareandService,Fem_SalesandRelated,Fem_OfficeandAdminSupport,Fem_FarmingFishingandForestry,Fem_ConstructionExtractionandMaintenance,Fem_Production,Fem_TranspoandMaterialMoving
Maryland,6148545,2995146,185279,191750,204033,120450,270938,412275,395351,398574,401452,261463,114345,39236,3153399,178187,185444,192426,115580,263663,417624,410034,421672,433923,308315,152385,74146,4931565,3330279,33795,3296484,3120977,175507,1601286,2374155,1706122,26868,1679254,1590284,88970,668033,2557410,1624157,6927,1617230,1530693,86537,933253,3120977,1846066,683102,269061,317311,5437,1590284,998245,314341,164586,110448,2664,1530693,847821,368761,104475,206863,2773,3120977,598810,904118,86100,88877,138289,102502,84662,256298,337878,6010,237349,85584,194500,1590284,302695,404318,13934,65602,63110,59207,20167,127044,85286,4186,229208,60503,155024,1530693,296115,499800,72166,23275,75179,43295,64495,129254,252592,1824,8141,25081,39476
Massachusetts,6991852,3413174,183397,189716,208481,129924,345976,495954,432400,450590,468917,318673,134840,54306,3578678,174546,182121,197419,124120,353284,494669,440996,468840,494471,364247,179444,104521,5773906,3882484,5506,3876978,3667019,209959,1891422,2789120,1987584,4591,1982993,1869455,113538,801536,2984786,1894900,915,1893985,1797564,96421,1089886,3667019,2397708,455055,320382,487956,5918,1869455,1301109,197527,195266,172600,2953,1797564,1096599,257528,125116,315356,2965,3667019,706586,1089638,125966,74931,175231,117990,103553,323833,364375,7647,238221,141289,197759,1869455,372717,472854,19747,60136,83021,73799,24674,170794,99927,5348,230990,97284,158164,1797564,333869,616784,106219,14795,92210,44191,78879,153039,264448,2299,7231,44005,39595
Michigan,10062512,4983325,288862,306114,324974,202816,484335,658800,597211,638651,696811,498907,211710,74134,5079187,275955,288805,309219,192111,466189,640235,595069,643527,719772,547999,266360,133946,8136493,5007906,4946,5002960,4692409,310551,3128587,3995016,2631775,4256,2627519,2457622,169897,1363241,4141477,2376131,690,2375441,2234787,140654,1765346,4692409,3337183,505992,394703,446732,7799,2457622,1849192,211065,250812,142278,4275,2234787,1487991,294927,143891,304454,3524,4692409,710336,1087115,166561,78112,269404,163898,114423,434950,516804,22798,346833,421288,359887,2457622,383633,481616,21211,61382,112595,100311,25360,215481,120203,15984,333855,303282,282709,2234787,326703,605499,145350,16730,156809,63587,89063,219469,396601,6814,12978,118006,77178
Minnesota,5670472,2839135,178137,190312,193180,115182,253407,385927,377602,349494,381387,260417,111717,42373,2831337,170331,179033,187238,110156,245995,370288,361112,339102,381072,275175,138605,73230,4495952,3109813,4029,3105784,2980477,125307,1386139,2238344,1627981,3379,1624602,1552811,71791,610363,2257608,1481832,650,1481182,1427666,53516,775776,2980477,1989236,368041,272690,345604,4906,1552811,1109786,153722,174412,112023,2868,1427666,879450,214319,98278,233581,2038,2980477,531688,751734,112595,38623,145260,92098,75152,277556,313554,19888,216650,201668,204011,1552811,288376,312789,19248,30259,60460,58288,15066,149934,84659,16142,209039,144536,164015,1427666,243312,438945,93347,8364,84800,33810,60086,127622,228895,3746,7611,57132,39996
Mississippi,2967023,1444255,93586,93551,110455,63283,145668,187783,181643,176219,183705,134243,58641,15478,1522768,88560,94546,102156,59917,141196,192844,190763,187899,200318,153935,78431,32203,2344417,1345038,13071,1331967,1240790,91177,999379,1126346,686436,10727,675709,630184,45525,439910,1218071,658602,2344,656258,610606,45652,559469,1240790,830780,227435,108028,71003,3544,630184,444184,89189,70894,24159,1758,610606,386596,138246,37134,46844,1786,1240790,149594,271204,37538,30120,69443,46680,30821,123004,133748,8063,118194,103773,118608,630184,79150,91023,3429,23225,27361,27376,7599,54416,26871,6805,114264,70650,98015,610606,70444,180181,34109,6895,42082,19304,23222,68588,106877,1258,3930,33123,20593
Missouri,6141534,3027741,188129,196550,205388,123453,286303,406863,383011,369588,406898,287399,130452,43707,3113793,179003,183572,198719,117561,275037,407488,380073,374543,425519,324210,169217,78851,4910777,3104195,19409,3084786,2945966,138820,1806582,2396883,1613327,15371,1597956,1523859,74097,783556,2513894,1490868,4038,1486830,1422107,64723,1023026,2945966,2013294,367784,257912,300902,6074,1523859,1100475,160168,163248,96548,3420,1422107,912819,207616,94664,204354,2654,2945966,463345,680830,95683,56211,158709,95932,73763,290018,341876,15131,239488,195705,239275,1523859,246498,270115,12511,43930,69575,60959,16827,148612,80812,12640,230793,141939,188648,1422107,216847,410715,83172,12281,89134,34973,56936,141406,261064,2491,8695,53766,50627
Montana,1077978,545671,31226,33436,34933,20506,52356,70343,68258,62006,74706,62808,27422,7671,532307,29140,31527,32575,19472,46345,67748,64583,59516,76848,62660,29182,12711,872599,552144,3200,548944,526641,22303,320455,439629,294384,2651,291733,279338,12395,145245,432970,257760,549,257211,247303,9908,175210,526641,306292,87937,79007,51697,1708,279338,171998,39680,49521,17185,954,247303,134294,48257,29486,34512,754,526641,84813,116175,17386,10632,34646,20885,13994,51570,56154,8529,53960,20602,37295,279338,47799,47394,3006,7979,14588,12138,3291,26618,11921,6862,51403,15616,30723,247303,37014,68781,14380,2653,20058,8747,10703,24952,44233,1667,2557,4986,6572
Nebraska,1951480,978863,66837,69746,71254,42180,96823,130233,127143,113342,122246,86805,37956,14298,972617,63563,65190,67848,39292,93432,124874,120806,108169,122731,93193,46589,26930,1519415,1052366,5903,1046463,1011989,34474,467049,756648,558261,5076,553185,534807,18378,198387,762767,494105,827,493278,477182,16096,268662,1011989,662717,144555,104617,98037,2063,534807,371748,63218,67673,30854,1314,477182,290969,81337,36944,67183,749,1011989,166790,230139,31513,16558,51507,31613,28840,92713,117359,13359,86327,70646,74625,534807,98520,90829,3804,12690,21160,19016,4701,48734,29057,11290,83815,49156,62035,477182,68270,139310,27709,3868,30347,12597,24139,43979,88302,2069,2512,21490,12590
Nevada,3059238,1541789,92638,98171,104066,60095,127781,225322,210823,202732,191222,145580,65338,18021,1517449,88791,92791,100108,57370,120709,217477,202487,193702,190546,156269,71380,25819,2443108,1549597,10638,1538959,1429447,109512,893511,1227590,837643,8625,829018,770283,58735,389947,1215518,711954,2013,709941,659164,50777,503564,1429447,1067386,176870,127770,54711,2710,770283,592686,79016,75915,21136,1530,659164,474700,97854,51855,33575,1180,1429447,193698,259022,34065,44300,127740,76386,67184,152521,168275,2662,128569,53554,121471,770283,103816,115064,5943,34821,68097,38172,27335,70952,47376,2007,123500,37394,95806,659164,89882,143958,28122,9479,59643,38214,39849,81569,120899,655,5069,16160,25665
New Hampshire,1372175,683846,32295,36298,39656,25252,63936,88591,81058,93522,107461,75070,30331,10376,688329,31214,32468,39337,24095,61518,82968,79577,93706,109087,79052,37432,17875,1144768,769793,2340,767453,738506,28947,374975,567486,405469,2037,403432,386756,16676,162017,577282,364324,303,364021,351750,12271,212958,738506,485924,96518,69442,85102,1520,386756,271541,41830,45093,27669,623,351750,214383,54688,24349,57433,897,738506,126718,187998,21474,12142,39467,23024,18569,76817,78132,2724,62480,45725,43236,386756,67183,82145,2361,10021,17788,14354,4027,40751,18810,1991,60740,32189,34396,351750,59535,105853,19113,2121,21679,8670,14542,36066,59322,733,1740,13536,8840
New Jersey,9234024,4539311,271646,287097,299463,185406,399356,597528,598712,624281,622721,403049,182138,67914,4694713,258730,270750,290610,176740,382620,582308,598294,640890,652356,463869,246504,131042,7436293,4905036,11161,4893875,4588902,304973,2531257,3620134,2581133,9160,2571973,2412912,159061,1039001,3816159,2323903,2001,2321902,2175990,145912,1492256,4588902,3217040,638493,394532,332259,6578,2412912,1752851,281433,254423,120870,3335,2175990,1464189,357060,140109,211389,3243,4588902,867841,1202332,129441,111087,187699,145438,126078,452673,518220,6921,314925,175216,351031,2412912,493612,517392,18970,89182,91990,87545,31799,241092,136787,4597,307261,117840,274845,2175990,374229,684940,110471,21905,95709,57893,94279,211581,381433,2324,7664,57376,76186
New Mexico,2109366,1048448,61578,68043,74617,43125,102046,144760,131926,119662,132493,106777,47392,16029,1060918,59138,64912,72068,41845,95355,135745,128797,121435,142280,118105,55735,25503,1682568,964460,11896,952564,889428,63136,718108,830936,509653,10119,499534,465393,34141,321283,851632,454807,1777,453030,424035,28995,396825,889428,529151,202256,86034,70127,1860,465393,291241,94212,52099,26706,1135,424035,237910,108044,33935,43421,725,889428,124482,218830,39535,23971,51642,35238,22596,85053,102191,8045,87504,30266,60075,465393,65218,93260,7333,19094,23753,20744,6848,41176,24761,6613,84880,22655,49058,424035,59264,125570,32202,4877,27889,14494,15748,43877,77430,1432,2624,7611,11017
New York,20114745,9821711,590167,577739,620488,370896,910475,1449506,1264814,1275357,1310482,895711,400262,155814,10293034,564209,553646,586601,353650,905794,1455137,1280662,1321767,1393196,1034154,548526,295692,16383427,10331727,25297,10306430,9663517,642913,6051700,7910852,5335192,22357,5312835,4963131,349704,2575660,8472575,4996535,2940,4993595,4700386,293209,3476040,9663517,6113846,1544005,918809,1071640,15217,4963131,3301131,694725,573449,386220,7606,4700386,2812715,849280,345360,685420,7611,9663517,1605431,2599290,451363,281492,472775,360726,300976,895297,1079230,22566,649225,323365,621781,4963131,865782,1073841,67938,217365,259985,222096,88613,466217,303641,16171,628345,231859,521278,4700386,739649,1525449,383425,64127,212790,138630,212363,429080,775589,6395,20880,91506,100503
North Carolina,10367022,5067666,304889,319048,346840,205862,504452,680742,642983,668994,647688,477261,205600,63307,5299356,289115,308334,329006,199221,475379,695259,668015,692480,702480,553464,268601,118002,8336531,5219602,100205,5119397,4845768,273629,3116929,4028731,2730180,90491,2639689,2499821,139868,1298551,4307800,2489422,9714,2479708,2345947,133761,1818378,4845768,3347599,674248,461584,352618,9719,2499821,1804711,278744,286374,125168,4824,2345947,1542888,395504,175210,227450,4895,4845768,799397,1133249,142064,91924,264564,174819,117346,498520,496885,25431,412279,327535,361755,2499821,429624,453068,16279,70196,112915,110042,28555,242783,121704,20365,393271,213967,287052,2345947,369773,680181,125785,21728,151649,64777,88791,255737,375181,5066,19008,113568,74703
North Dakota,773344,397093,27612,26774,26311,13946,44800,61657,50465,41873,48776,33924,14654,6301,376251,25805,25531,24432,14047,40189,52846,44343,39041,46698,33768,18900,10651,607971,424182,7418,416764,403612,13152,183789,312126,231917,6033,225884,217874,8010,80209,295845,192265,1385,190880,185738,5142,103580,403612,247880,65959,44922,43598,1253,217874,142656,29572,30740,14203,703,185738,105224,36387,14182,29395,550,403612,67671,88925,14860,6306,21707,14856,12409,36379,42301,6472,40963,19811,30952,217874,41314,32330,2368,4752,9405,8701,2195,19879,10169,5508,39969,15356,25928,185738,26357,56595,12492,1554,12302,6155,10214,16500,32132,964,994,4455,5024
Ohio,11769923,5800004,351995,366508,390216,237370,539866,776454,715930,737774,792324,564936,240950,85681,5969919,337131,346303,374155,226311,522615,766804,714127,741114,828124,632006,322440,158789,9449482,5981645,10776,5970869,5656463,314406,3467837,4612633,3119051,8258,3110793,2939506,171287,1493582,4836849,2862594,2518,2860076,2716957,143119,1974255,5656463,3952939,700830,443442,549683,9569,2939506,2164191,311033,283768,175303,5211,2716957,1788748,389797,159674,374380,4358,5656463,877584,1295308,190005,107767,320022,188482,128225,524880,650771,16584,403649,460416,492770,2939506,478303,526672,24270,85209,130983,119442,29003,263882,165358,12319,388540,330946,384579,2716957,399281,768636,165735,22558,189039,69040,99222,260998,485413,4265,15109,129470,108191
Oklahoma,3948136,1964927,129519,136180,142822,82948,196910,271531,254745,231695,241267,173216,80827,23267,1983209,123410,130675,136325,79191,182415,264085,248358,228277,251951,193816,101377,43329,3094226,1902597,20999,1881598,1786742,94856,1191629,1527632,1018679,17439,1001240,949385,51855,508953,1566594,883918,3560,880358,837357,43001,682676,1786742,1171140,305508,183891,121625,4578,949385,652414,137291,115123,42193,2364,837357,518726,168217,68768,79432,2214,1786742,262368,386830,53351,35507,101444,65555,49389,173726,207738,11321,184674,114730,140109,949385,142443,156884,6571,28029,39972,38815,11479,86365,47795,9073,177978,89936,114045,837357,119925,229946,46780,7478,61472,26740,37910,87361,159943,2248,6696,24794,26064
Oregon,4207177,2096429,114886,124130,131624,77796,184620,300714,292494,262643,264235,220081,90549,32657,2110748,108729,117183,125449,73689,177675,292074,283177,254881,278053,241273,108052,50513,3434262,2150814,4121,2146693,2026107,120586,1283448,1699756,1136875,3485,1133390,1068250,65140,562881,1734506,1013939,636,1013303,957857,55446,720567,2026107,1312233,282387,230531,196788,4168,1068250,751091,118335,130498,66260,2066,957857,561142,164052,100033,130528,2102,2026107,335741,494830,83003,32446,121738,65725,49719,189200,224246,31277,148555,107979,141648,1068250,183420,221458,14213,25156,53370,40103,9983,99670,61603,25241,142049,80584,111400,957857,152321,273372,68790,7290,68368,25622,39736,89530,162643,6036,6506,27395,30248
Pennsylvania,12970650,6394217,358907,372560,407426,247022,584520,864033,784542,824294,903026,651629,285611,110647,6576433,341885,360844,381917,233921,570151,837065,774036,825896,936815,723262,380943,209698,10587037,6671309,8419,6662890,6295594,367296,3915728,5172417,3484864,7293,3477571,3278110,199461,1687553,5414620,3186445,1126,3185319,3017484,167835,2228175,6295594,4319671,687533,506898,771519,9973,3278110,2357352,323548,336855,255317,5038,3017484,1962319,363985,170043,516202,4935,6295594,1007647,1550626,239074,127086,325074,202446,157211,583694,704529,25386,474759,371754,526308,3278110,556983,639052,36818,97065,139490,128268,37635,295145,174397,18322,460592,274772,419571,3017484,450664,911574,202256,30021,185584,74178,119576,288549,530132,7064,14167,96982,106737
Rhode Island,1091949,534283,28236,28728,32137,19833,55615,77010,65678,69183,74894,52110,22662,8197,557666,27134,28605,29268,18722,57056,74208,65182,71828,80046,58004,31057,16556,906304,592466,4331,588135,552707,35428,313838,439141,305653,3551,302102,282813,19289,133488,467163,286813,780,286033,269894,16139,180350,552707,368733,72286,45346,65399,943,282813,196317,34195,29236,22542,523,269894,172416,38091,16110,42857,420,552707,86054,139930,20604,13239,32701,19964,14740,54911,64291,1039,39774,30213,35247,282813,45282,58880,2617,10019,14688,13971,3773,28321,16257,850,38921,21416,27818,269894,40772,81050,17987,3220,18013,5993,10967,26590,48034,189,853,8797,7429
South Carolina,5078903,2474059,146308,155195,167163,97971,238194,324208,305203,310404,324491,260748,113123,31051,2604844,139164,151791,158207,94004,223735,336392,318240,327681,359055,300550,141027,54998,4097365,2479690,35688,2444002,2313378,130624,1617675,1973016,1286784,28863,1257921,1191762,66159,686232,2124349,1192906,6825,1186081,1121616,64465,931443,2313378,1594896,346483,217056,149814,5129,1191762,861648,137792,137689,51634,2999,1121616,733248,208691,79367,98180,2130,2313378,333908,513031,63949,48136,136610,92653,55660,241593,253419,9062,204090,182503,178764,1191762,181543,198816,6866,37271,61521,57974,13685,112267,55980,7250,194367,123514,140708,1121616,152365,314215,57083,10865,75089,34679,41975,129326,197439,1812,9723,58989,38056
South Dakota,881785,446461,30241,31312,31887,18202,42713,59518,55526,49291,58835,44416,18047,6473,435324,29297,30911,29840,17008,40139,53958,51507,46771,58045,44040,21582,12226,686625,466180,2982,463198,448357,14841,220445,346661,248757,2696,246061,236986,9075,97904,339964,217423,286,217137,211371,5766,122541,448357,274693,68299,54462,49556,1347,236986,152341,31039,37500,15405,701,211371,122352,37260,16962,34151,646,448357,73289,95547,13656,7876,25239,16583,12244,43048,50847,7873,39835,29214,33106,236986,44439,35560,1624,6020,10872,9353,2408,22801,10084,6708,38467,21014,27636,211371,28850,59987,12032,1856,14367,7230,9836,20247,40763,1165,1368,8200,5470
Tennessee,6859497,3362099,207621,213730,227633,135614,311993,464442,427727,438241,435497,320313,141284,38004,3497398,198246,201896,219898,129605,304781,472712,435260,447380,469031,362893,183042,72654,5504783,3399281,18573,3380708,3201140,179568,2105502,2670093,1778447,15829,1762618,1671825,90793,891646,2834690,1620834,2744,1618090,1529315,88775,1213856,3201140,2222282,427495,301709,243309,6345,1671825,1199883,183992,195635,88888,3427,1529315,1022399,243503,106074,154421,2918,3201140,476871,707355,88669,66242,179765,114423,72553,316492,368152,12590,264241,249291,284496,1671825,258223,285525,12336,51339,75281,70970,16654,156296,92117,9652,253311,168633,221488,1529315,218648,421830,76333,14903,104484,43453,55899,160196,276035,2938,10930,80658,63008
Texas,28862581,14398171,1000733,1043347,1111175,647804,1436876,2120302,2011317,1790202,1603097,1051370,441658,140290,14464410,958490,998344,1065663,620620,1360060,2059727,1967990,1785594,1660442,1181847,561956,243677,22261181,14492816,102600,14390216,13618630,771586,7768365,11027126,7910479,85373,7825106,7414563,410543,3116647,11234055,6582337,17227,6565110,6204067,361043,4651718,13618630,9579043,1850609,1381959,778583,28436,7414563,5460702,781672,878880,279263,14046,6204067,4118341,1068937,503079,499320,14390,13618630,2220551,3024818,400634,298775,735003,497544,330600,1411135,1516782,54073,1375441,672181,1081093,7414563,1239895,1329339,56048,226355,331192,270692,79418,720319,406167,45240,1329229,507909,872760,6204067,980656,1695479,344586,72420,403811,226852,251182,690816,1110615,8833,46212,164272,208333
Utah,3231370,1633843,125819,136703,140717,82895,185192,239874,229722,172254,152357,106686,46514,15110,1597527,119820,129864,131992,78253,178255,230615,219284,164933,154653,113878,54996,20984,2391727,1653818,5505,1648313,1590143,58170,737909,1201946,919070,4616,914454,882848,31606,282876,1189781,734748,889,733859,707295,26564,455033,1590143,1093446,234171,148990,110611,2925,882848,635764,108476,91679,45749,1180,707295,457682,125695,57311,64862,1745,1590143,266406,376103,39916,25578,73229,52722,41818,157185,208978,5102,136628,95022,111456,882848,165087,184798,7106,19699,30909,31825,8085,87101,58860,3720,132300,65264,88094,707295,101319,191305,32810,5879,42320,20897,33733,70084,150118,1382,4328,29758,23362
Vermont,641637,318533,15119,17222,18161,11305,35186,38087,36770,40240,48289,37692,15604,4858,323104,14049,15342,16997,10694,33099,37288,37734,40981,49943,39667,18545,8765,537475,349819,912,348907,335239,13668,187656,264125,178122,826,177296,169085,8211,86003,273350,171697,86,171611,166154,5457,101653,335239,187343,49472,43832,53914,678,169085,104762,19422,26627,17937,337,166154,82581,30050,17205,35977,341,335239,55447,92372,9868,4342,18262,13069,8713,28747,33950,4438,29540,19740,16751,169085,28413,35582,2144,3172,7972,7487,2418,14229,8359,3303,28212,13792,14002,166154,27034,56790,7724,1170,10290,5582,6295,14518,25591,1135,1328,5948,2749
Virginia,8582479,4245281,256734,266854,280270,166637,415948,593484,568853,555240,546869,376160,165350,52882,4337198,244760,252006,266690,158801,391258,581961,567392,564357,575765,427110,215887,91211,6903607,4552635,130047,4422588,4219781,202807,2350972,3385811,2400124,106500,2293624,2188229,105395,985687,3517796,2152511,23547,2128964,2031552,97412,1365285,4219781,2653373,852594,353612,352712,7490,2188229,1445597,402815,210393,125678,3746,2031552,1207776,449779,143219,227034,3744,4219781,809328,1144886,111325,114148,205904,137792,113193,378185,429388,14146,316525,174810,270151,2188229,430710,513831,14296,86201,90816,80605,26418,187076,107149,11572,303065,123519,212971,2031552,378618,631055,97029,27947,115088,57187,86775,191109,322239,2574,13460,51291,57180
Washington,7617364,3831964,230732,242605,245314,142233,341829,596836,534910,476959,478018,350206,143665,48657,3785400,218811,230501,233793,136471,316423,555320,509190,462317,487330,382040,171014,82190,6120915,3958572,58657,3899915,3701656,198259,2162343,3065084,2148794,50225,2098569,1990888,107681,916290,3055831,1809778,8432,1801346,1710768,90578,1246053,3701656,2445158,578113,360429,311159,6797,1990888,1412809,261734,207870,104985,3490,1710768,1032349,316379,152559,206174,3307,3701656,651733,958986,129798,67243,193259,112032,93237,332624,372887,54852,291679,169973,273353,1990888,355369,458615,21693,52566,88403,69655,17782,167874,98489,39611,279981,127403,213447,1710768,296364,500371,108105,14677,104856,42377,75455,164750,274398,15241,11698,42570,59906
West Virginia,1801049,896723,48062,51311,56100,33282,81598,107520,110481,117303,126256,104964,46984,12862,904326,45161,49064,51980,31535,75042,103404,107524,115369,131182,112762,55554,25749,1478714,788433,2068,786365,736088,50277,690281,730546,419244,1808,417436,388291,29145,311302,748168,369189,260,368929,347797,21132,378979,736088,485510,141760,48512,59260,1046,388291,274416,63395,29022,20992,466,347797,211094,78365,19490,38268,580,736088,86753,167453,31537,17586,43049,28545,17795,73413,82613,2399,77141,41754,66050,388291,46237,62199,4701,14812,16360,17195,4663,35292,20221,1958,74944,34736,54973,347797,40516,105254,26836,2774,26689,11350,13132,38121,62392,441,2197,7018,11077
Wisconsin,5871661,2937621,168590,180072,195924,117764,280384,375284,370951,371519,416624,292854,124187,43468,2934040,160734,173541,183963,112356,270648,359871,357763,361060,417535,306333,149977,80259,4731836,3127362,3733,3123629,3014612,109017,1604474,2354124,1637876,3033,1634843,1572544,62299,716248,2377712,1489486,700,1488786,1442068,46718,888226,3014612,2104147,372323,251624,280454,6064,1572544,1171088,156246,161055,81130,3025,1442068,933059,216077,90569,199324,3039,3014612,467743,677381,113471,48060,154345,94390,68796,266022,330715,25574,233150,289602,245363,1572544,252644,271124,13906,37599,64547,59097,13187,135505,75772,19191,225521,209769,194682,1442068,215099,406257,99565,10461,89798,35293,55609,130517,254943,6383,7629,79833,50681
Wyoming,576641,295204,17712,19577,20150,11865,27621,39712,38660,33686,39252,30787,12406,3776,281437,16550,18237,19632,10744,24391,36024,36189,31532,38567,29710,13834,6027,457128,300833,3435,297398,284934,12464,156295,234244,166274,2874,163400,155502,7898,67970,222884,134559,561,133998,129432,4566,88325,284934,171032,59995,32449,20401,1057,155502,102302,27125,19014,6551,510,129432,68730,32870,13435,13850,547,284934,41839,62925,8601,5190,16504,11035,7656,23102,30159,3493,38321,13074,23035,155502,24003,25887,678,3942,7253,5990,2002,11317,5656,2791,36846,10613,18524,129432,17836,37038,7923,1248,9251,5045,5654,11785,24503,702,1475,2461,4511
