Statistics,TotalPopulationBySex,MalePop,M_Under5Years,M_5to9Years,M_10to14Years,M_15to17Years,M_18to24Years,M_25to34Years,M_35to44Years,M_45to54Years,M_55to64Years,M_65to74Years,M_75to84Years,M_85YearsandOver,FemalePop,F_Under5Years,F_5to9Years,F_10to14Years,F_15to17Years,F_18to24Years,F_25to34Years,F_35to44Years,F_45to54Years,F_55to64Years,F_65to74Years,F_75to84Years,F_85YearsandOver,TotalEA_Pop25YearsandOver,TotalEA_LessthanHighSchool,TotalEA_HighSchoolGrad ,TotalEA_SomeCollege,TotalEA_BachelorsDegree,TotalEA_MastersDegree,TotalEA_ProfessionalSchoolDegree,TotalEA_DoctorateDegree,MaleEA_Pop25YearsandOver,MaleEA_LessthanHighSchool,MaleEA_HighSchoolGrad,MaleEA_SomeCollege,MaleEA_BachelorsDegree,MaleEA_MastersDegree,MaleEA_ProfessionalSchoolDegree,MaleEA_DoctorateDegree,FemEA_Pop25YearsandOver,FemEA_LessthanHighSchool,FemEA_HighSchoolGrad,FemEA_SomeCollege,FemEA_BachelorsDegree,FemEA_MastersDegree,FemEA_ProfessionalSchoolDegree,FemEA_DoctorateDegree,MaleSDR_CivilianPop16to19Years,MaleSDR_NotHighSchoolGradNotEnrolled,MaleSDR_HighSchoolGradEnrolled ,FemaleSDR_CivilianPop16to19Years,FemSDR_NotHighSchoolGradNotEnrolled,FemSDR_HighSchoolGradEnrolled ,MaleES_Pop16YearsandOver,MaleES_InLaborForce,MaleES_InArmedForces,MaleES_Civilian,MaleES_Employed,MaleES_Unemployed,MaleES_NotinLaborForce,FemES Pop16YearsandOver,FemES_InLaborForce,FemES_InArmedForces,FemES_Civilian,FemES_Employed,FemES_Unemployed,FemES_NotinLaborForce,MaleEmpSec_EmployedCivilianPop16YearsandOver,MaleEmpSec_PrivateSector,MaleEmpSec_PublicSector,MaleEmpSec_SelfEmployed,MaleEmpSec_PrivateNonProfit,MaleEmpSec_UnpaidFamilyWorkers,FemEmpSec_EmployedCivilianPop16YearsandOver,FemEmpSec_PrivateSector,FemEmpSec_PublicSector,FemEmpSec_SelfEmployed,FemEmpSec_PrivateNonProfit,FemEmpSec_UnpaidFamilyWorkers,MaleUR_CivilianMaleinLaborForce16YearsandOver,MaleUR_Employed,MaleUR_Unemployed,FemUR_CivilianFemaleinLaborForce16YearsandOver,FemUR_Employed,FemUR_Unemployed,PS_Total,IncomeinthePast12MonthsBelowPovertyLevel,Male_IncPast12BPL,Female_IncPast12BPL,IncomeinthePast12MonthsAtorAbovePovertyLevel,Male_IncPast12AAPL,Female_IncPast12AAPL,TotalMedianEarnings,TME_LessthanHighSchoolGrad,TME_HighSchoolGrad,TME_SomeCollegeorAssociatesDegree,TME_BachelorsDegree,TME_GraduateorProfessionalDegree,MaleMedianEarnings,MaleME_LessthanHighSchoolGrad,MaleME_HighSchoolGrad,MaleME_SomeCollegeorAssociatesDegree,MaleME_BachelorsDegree,MaleME_GraduateorProfessionalDegree,FemaleMedianEarnings,FemME_LessthanHighSchoolGrad,FemME_HighSchoolGrad,FemME_SomeCollegeorAssociatesDegree,FemME_BachelorsDegree,FemME_GraduateorProfessionalDegree
MS_pct,,48.7%,3.2%,3.2%,3.7%,2.1%,4.9%,6.3%,6.1%,5.9%,6.2%,4.5%,2.0%,0.5%,51.3%,3.0%,3.2%,3.4%,2.0%,4.8%,6.5%,6.4%,6.3%,6.8%,5.2%,2.6%,1.1%,,14.4%,29.8%,32.6%,14.2%,6.5%,1.5%,1.1%,,16.5%,32.3%,30.6%,13.0%,4.8%,1.8%,1.2%,,12.5%,27.5%,34.5%,15.3%,8.0%,1.3%,1.0%,,6.2%,93.8%,,4.5%,95.5%,,60.9%,1.0%,60.0%,56.0%,4.0%,39.1%,,54.1%,0.2%,53.9%,50.1%,3.8%,45.9%,,70.5%,14.2%,11.3%,3.8%,0.3%,,63.3%,22.6%,6.1%,7.7%,0.3%,,93.3%,6.7%,,93.0%,7.0%,,19.4%,8.3%,11.1%,80.6%,39.9%,40.8%,,,,,,,,,,,,,,,,,,
Missouri,6141534,3027741,188129,196550,205388,123453,286303,406863,383011,369588,406898,287399,130452,43707,3113793,179003,183572,198719,117561,275037,407488,380073,374543,425519,324210,169217,78851,4187819,377539,1276601,1248480,789957,363092,78069,54081,2027918,197290,654557,576298,376037,148498,44217,31021,2159901,180249,622044,672182,413920,214594,33852,23060,165727,8200,157527,156589,6706,149883,2396883,1613327,15371,1597956,1523859,74097,783556,2513894,1490868,4038,1486830,1422107,64723,1023026,1523859,1100475,160168,163248,96548,3420,1422107,912819,207616,94664,204354,2654,1597956,1523859,74097,1486830,1422107,64723,5967909,762023,338772,423251,5205886,2590015,2615871,"$41,659","$26,400","$32,836","$38,030","$53,696","$66,301","$49,047","$31,478","$39,464","$45,973","$65,568","$83,221","$35,215","$19,861","$26,263","$31,965","$44,624","$58,066"
MO_pct,,49.3%,3.1%,3.2%,3.3%,2.0%,4.7%,6.6%,6.2%,6.0%,6.6%,4.7%,2.1%,0.7%,50.7%,2.9%,3.0%,3.2%,1.9%,4.5%,6.6%,6.2%,6.1%,6.9%,5.3%,2.8%,1.3%,,9.0%,30.5%,29.8%,18.9%,8.7%,1.9%,1.3%,,9.7%,32.3%,28.4%,18.5%,7.3%,2.2%,1.5%,,8.4%,28.8%,31.1%,19.2%,9.9%,1.6%,1.1%,,5.0%,95.1%,,4.3%,95.7%,,67.3%,0.6%,66.7%,63.6%,3.1%,32.7%,,59.3%,0.2%,59.1%,56.6%,2.6%,40.7%,,72.2%,10.5%,10.7%,6.3%,0.2%,,64.2%,14.6%,6.7%,14.4%,0.2%,,95.4%,4.6%,,95.7%,4.4%,,12.8%,5.7%,7.1%,87.2%,43.4%,43.8%,,,,,,,,,,,,,,,,,,
Montana,1077978,545671,31226,33436,34933,20506,52356,70343,68258,62006,74706,62808,27422,7671,532307,29140,31527,32575,19472,46345,67748,64583,59516,76848,62660,29182,12711,746462,42160,207496,245580,166825,57507,15666,11228,373214,23630,110899,117245,80437,25347,9203,6453,373248,18530,96597,128335,86388,32160,6463,4775,28635,1763,26872,25697,1218,24479,439629,294384,2651,291733,279338,12395,145245,432970,257760,549,257211,247303,9908,175210,279338,171998,39680,49521,17185,954,247303,134294,48257,29486,34512,754,291733,279338,12395,257211,247303,9908,1053304,131512,63069,68443,921792,468780,453012,"$38,418","$25,708","$31,548","$34,810","$44,997","$62,028","$45,115","$31,006","$38,365","$42,719","$55,036","$73,568","$32,095","$17,421","$24,728","$29,115","$39,278","$54,171"
MT_pct,,50.6%,2.9%,3.1%,3.2%,1.9%,4.9%,6.5%,6.3%,5.8%,6.9%,5.8%,2.5%,0.7%,49.4%,2.7%,2.9%,3.0%,1.8%,4.3%,6.3%,6.0%,5.5%,7.1%,5.8%,2.7%,1.2%,,5.7%,27.8%,32.9%,22.4%,7.7%,2.1%,1.5%,,6.3%,29.7%,31.4%,21.6%,6.8%,2.5%,1.7%,,5.0%,25.9%,34.4%,23.1%,8.6%,1.7%,1.3%,,6.2%,93.8%,,4.7%,95.3%,,67.0%,0.6%,66.4%,63.5%,2.8%,33.0%,,59.5%,0.1%,59.4%,57.1%,2.3%,40.5%,,61.6%,14.2%,17.7%,6.2%,0.3%,,54.3%,19.5%,11.9%,14.0%,0.3%,,95.8%,4.3%,,96.2%,3.9%,,12.5%,6.0%,6.5%,87.5%,44.5%,43.0%,,,,,,,,,,,,,,,,,,
Nebraska,1951480,978863,66837,69746,71254,42180,96823,130233,127143,113342,122246,86805,37956,14298,972617,63563,65190,67848,39292,93432,124874,120806,108169,122731,93193,46589,26930,1275315,105606,326345,423189,274664,103385,24415,17711,632023,56827,170751,206004,130004,45067,13847,9523,643292,48779,155594,217185,144660,58318,10568,8188,56215,2027,54188,52932,1621,51311,756648,558261,5076,553185,534807,18378,198387,762767,494105,827,493278,477182,16096,268662,534807,371748,63218,67673,30854,1314,477182,290969,81337,36944,67183,749,553185,534807,18378,493278,477182,16096,1899516,195455,87408,108047,1704061,863086,840975,"$43,626","$30,643","$34,294","$40,386","$53,735","$68,217","$51,328","$34,816","$41,413","$50,328","$64,608","$80,228","$36,421","$23,279","$26,681","$32,070","$45,728","$62,592"
NE_pct,,50.2%,3.4%,3.6%,3.7%,2.2%,5.0%,6.7%,6.5%,5.8%,6.3%,4.5%,1.9%,0.7%,49.8%,3.3%,3.3%,3.5%,2.0%,4.8%,6.4%,6.2%,5.5%,6.3%,4.8%,2.4%,1.4%,,8.3%,25.6%,33.2%,21.5%,8.1%,1.9%,1.4%,,9.0%,27.0%,32.6%,20.6%,7.1%,2.2%,1.5%,,7.6%,24.2%,33.8%,22.5%,9.1%,1.6%,1.3%,,3.6%,96.4%,,3.1%,96.9%,,73.8%,0.7%,73.1%,70.7%,2.4%,26.2%,,64.8%,0.1%,64.7%,62.6%,2.1%,35.2%,,69.5%,11.8%,12.7%,5.8%,0.3%,,61.0%,17.1%,7.7%,14.1%,0.2%,,96.7%,3.3%,,96.7%,3.3%,,10.3%,4.6%,5.7%,89.7%,45.4%,44.3%,,,,,,,,,,,,,,,,,,
Nevada,3059238,1541789,92638,98171,104066,60095,127781,225322,210823,202732,191222,145580,65338,18021,1517449,88791,92791,100108,57370,120709,217477,202487,193702,190546,156269,71380,25819,2116718,274760,587588,702767,359703,134479,36237,21184,1059038,139594,301913,346012,176463,61416,21702,11938,1057680,135166,285675,356755,183240,73063,14535,9246,76316,4289,72027,69377,3247,66130,1227590,837643,8625,829018,770283,58735,389947,1215518,711954,2013,709941,659164,50777,503564,770283,592686,79016,75915,21136,1530,659164,474700,97854,51855,33575,1180,829018,770283,58735,709941,659164,50777,3018139,388814,178731,210083,2629325,1334834,1294491,"$40,954","$30,537","$34,782","$40,539","$52,261","$71,808","$44,831","$34,072","$39,355","$46,172","$60,521","$84,792","$36,242","$25,005","$30,612","$34,995","$46,135","$63,530"
NV_pct,,50.4%,3.0%,3.2%,3.4%,2.0%,4.2%,7.4%,6.9%,6.6%,6.3%,4.8%,2.1%,0.6%,49.6%,2.9%,3.0%,3.3%,1.9%,4.0%,7.1%,6.6%,6.3%,6.2%,5.1%,2.3%,0.8%,,13.0%,27.8%,33.2%,17.0%,6.4%,1.7%,1.0%,,13.2%,28.5%,32.7%,16.7%,5.8%,2.1%,1.1%,,12.8%,27.0%,33.7%,17.3%,6.9%,1.4%,0.9%,,5.6%,94.4%,,4.7%,95.3%,,68.2%,0.7%,67.5%,62.8%,4.8%,31.8%,,58.6%,0.2%,58.4%,54.2%,4.2%,41.4%,,76.9%,10.3%,9.9%,2.7%,0.2%,,72.0%,14.9%,7.9%,5.1%,0.2%,,92.9%,7.1%,,92.9%,7.2%,,12.9%,5.9%,7.0%,87.1%,44.2%,42.9%,,,,,,,,,,,,,,,,,,
New Hampshire,1372175,683846,32295,36298,39656,25252,63936,88591,81058,93522,107461,75070,30331,10376,688329,31214,32468,39337,24095,61518,82968,79577,93706,109087,79052,37432,17875,986106,62809,269342,276920,230314,110986,19946,15789,486409,35312,142062,128941,112298,47550,11014,9232,499697,27497,127280,147979,118016,63436,8932,6557,36342,1117,35225,35848,883,34965,567486,405469,2037,403432,386756,16676,162017,577282,364324,303,364021,351750,12271,212958,386756,271541,41830,45093,27669,623,351750,214383,54688,24349,57433,897,403432,386756,16676,364021,351750,12271,1330682,98429,42910,55519,1232253,620472,611781,"$50,653","$32,238","$40,522","$44,423","$62,110","$76,646","$59,043","$37,043","$47,520","$55,571","$78,443","$98,645","$41,881","$24,630","$31,567","$36,735","$50,143","$66,491"
NH_pct,,49.8%,2.4%,2.7%,2.9%,1.8%,4.7%,6.5%,5.9%,6.8%,7.8%,5.5%,2.2%,0.8%,50.2%,2.3%,2.4%,2.9%,1.8%,4.5%,6.1%,5.8%,6.8%,8.0%,5.8%,2.7%,1.3%,,6.4%,27.3%,28.1%,23.4%,11.3%,2.0%,1.6%,,7.3%,29.2%,26.5%,23.1%,9.8%,2.3%,1.9%,,5.5%,25.5%,29.6%,23.6%,12.7%,1.8%,1.3%,,3.1%,96.9%,,2.5%,97.5%,,71.5%,0.4%,71.1%,68.2%,2.9%,28.6%,,63.1%,0.1%,63.1%,60.9%,2.1%,36.9%,,70.2%,10.8%,11.7%,7.2%,0.2%,,61.0%,15.6%,6.9%,16.3%,0.3%,,95.9%,4.1%,,96.6%,3.4%,,7.4%,3.2%,4.2%,92.6%,46.6%,46.0%,,,,,,,,,,,,,,,,,,
New Jersey,9234024,4539311,271646,287097,299463,185406,399356,597528,598712,624281,622721,403049,182138,67914,4694713,258730,270750,290610,176740,382620,582308,598294,640890,652356,463869,246504,131042,6411606,608877,1693560,1448316,1611515,763884,178003,107451,3096343,305597,828670,687796,765676,345393,101971,61240,3315263,303280,864890,760520,845839,418491,76032,46211,239831,7029,232802,225699,4475,221224,3620134,2581133,9160,2571973,2412912,159061,1039001,3816159,2323903,2001,2321902,2175990,145912,1492256,2412912,1752851,281433,254423,120870,3335,2175990,1464189,357060,140109,211389,3243,2571973,2412912,159061,2321902,2175990,145912,9058493,883896,386262,497634,8174597,4051768,4122829,"$54,761","$27,628","$36,977","$45,305","$71,296","$95,523","$64,179","$32,582","$44,480","$55,108","$85,507","$117,249","$44,973","$20,772","$29,298","$37,649","$60,705","$78,728"
NJ_pct,,49.2%,2.9%,3.1%,3.2%,2.0%,4.3%,6.5%,6.5%,6.8%,6.7%,4.4%,2.0%,0.7%,50.8%,2.8%,2.9%,3.2%,1.9%,4.1%,6.3%,6.5%,6.9%,7.1%,5.0%,2.7%,1.4%,,9.5%,26.4%,22.6%,25.1%,11.9%,2.8%,1.7%,,9.9%,26.8%,22.2%,24.7%,11.2%,3.3%,2.0%,,9.2%,26.1%,22.9%,25.5%,12.6%,2.3%,1.4%,,2.9%,97.1%,,2.0%,98.0%,,71.3%,0.3%,71.1%,66.7%,4.4%,28.7%,,60.9%,0.1%,60.8%,57.0%,3.8%,39.1%,,72.6%,11.7%,10.5%,5.0%,0.1%,,67.3%,16.4%,6.4%,9.7%,0.2%,,93.8%,6.2%,,93.7%,6.3%,,9.8%,4.3%,5.5%,90.2%,44.7%,45.5%,,,,,,,,,,,,,,,,,,
New Mexico,2109366,1048448,61578,68043,74617,43125,102046,144760,131926,119662,132493,106777,47392,16029,1060918,59138,64912,72068,41845,95355,135745,128797,121435,142280,118105,55735,25503,1426639,188715,371398,459485,225538,127471,27269,26763,699039,98551,195280,215761,103784,53962,14768,16933,727600,90164,176118,243724,121754,73509,12501,9830,59240,3978,55262,56512,3303,53209,830936,509653,10119,499534,465393,34141,321283,851632,454807,1777,453030,424035,28995,396825,465393,291241,94212,52099,26706,1135,424035,237910,108044,33935,43421,725,499534,465393,34141,453030,424035,28995,2067620,378896,174816,204080,1688724,844738,843986,"$37,162","$22,328","$29,716","$34,373","$48,063","$67,285","$42,431","$28,102","$34,492","$41,670","$54,571","$84,672","$32,079","$16,518","$24,050","$29,551","$43,146","$59,603"
NM_pct,,49.7%,2.9%,3.2%,3.5%,2.0%,4.8%,6.9%,6.3%,5.7%,6.3%,5.1%,2.3%,0.8%,50.3%,2.8%,3.1%,3.4%,2.0%,4.5%,6.4%,6.1%,5.8%,6.8%,5.6%,2.6%,1.2%,,13.2%,26.0%,32.2%,15.8%,8.9%,1.9%,1.9%,,14.1%,27.9%,30.9%,14.9%,7.7%,2.1%,2.4%,,12.4%,24.2%,33.5%,16.7%,10.1%,1.7%,1.4%,,6.7%,93.3%,,5.8%,94.2%,,61.3%,1.2%,60.1%,56.0%,4.1%,38.7%,,53.4%,0.2%,53.2%,49.8%,3.4%,46.6%,,62.6%,20.2%,11.2%,5.7%,0.2%,,56.1%,25.5%,8.0%,10.2%,0.2%,,93.2%,6.8%,,93.6%,6.4%,,18.3%,8.5%,9.9%,81.7%,40.9%,40.8%,,,,,,,,,,,,,,,,,,
New York,20114745,9821711,590167,577739,620488,370896,910475,1449506,1264814,1275357,1310482,895711,400262,155814,10293034,564209,553646,586601,353650,905794,1455137,1280662,1321767,1393196,1034154,548526,295692,14081080,1769657,3553598,3391113,2996306,1706772,433494,230140,6751946,879139,1773724,1618275,1440091,676899,238598,125220,7329134,890518,1779874,1772838,1556215,1029873,194896,104920,510647,19063,491584,494011,14459,479552,7910852,5335192,22357,5312835,4963131,349704,2575660,8472575,4996535,2940,4993595,4700386,293209,3476040,4963131,3301131,694725,573449,386220,7606,4700386,2812715,849280,345360,685420,7611,5312835,4963131,349704,4993595,4700386,293209,19604130,2636823,1169005,1467818,16967307,8373610,8593697,"$49,839","$26,419","$34,972","$42,959","$65,442","$84,024","$55,067","$30,786","$41,575","$50,982","$75,546","$100,859","$43,615","$21,242","$28,276","$36,816","$57,124","$75,244"
NY_pct,,48.8%,2.9%,2.9%,3.1%,1.8%,4.5%,7.2%,6.3%,6.3%,6.5%,4.5%,2.0%,0.8%,51.2%,2.8%,2.8%,2.9%,1.8%,4.5%,7.2%,6.4%,6.6%,6.9%,5.1%,2.7%,1.5%,,12.6%,25.2%,24.1%,21.3%,12.1%,3.1%,1.6%,,13.0%,26.3%,24.0%,21.3%,10.0%,3.5%,1.9%,,12.2%,24.3%,24.2%,21.2%,14.1%,2.7%,1.4%,,3.7%,96.3%,,2.9%,97.1%,,67.4%,0.3%,67.2%,62.7%,4.4%,32.6%,,59.0%,0.0%,58.9%,55.5%,3.5%,41.0%,,66.5%,14.0%,11.6%,7.8%,0.2%,,59.8%,18.1%,7.4%,14.6%,0.2%,,93.4%,6.6%,,94.1%,5.9%,,13.5%,6.0%,7.5%,86.6%,42.7%,43.8%,,,,,,,,,,,,,,,,,,
North Carolina,10367022,5067666,304889,319048,346840,205862,504452,680742,642983,668994,647688,477261,205600,63307,5299356,289115,308334,329006,199221,475379,695259,668015,692480,702480,553464,268601,118002,7084876,776686,1787594,2181433,1481848,621189,134988,101138,3386575,424763,910906,982885,679360,257843,75142,55676,3698301,351923,876688,1198548,802488,363346,59846,45462,287119,13582,273537,278049,9191,268858,4028731,2730180,90491,2639689,2499821,139868,1298551,4307800,2489422,9714,2479708,2345947,133761,1818378,2499821,1804711,278744,286374,125168,4824,2345947,1542888,395504,175210,227450,4895,2639689,2499821,139868,2479708,2345947,133761,10092759,1379672,602046,777626,8713087,4300804,4412283,"$40,954","$25,686","$31,461","$36,715","$54,286","$68,897","$46,664","$29,333","$36,175","$43,992","$68,991","$91,513","$35,327","$19,408","$25,727","$31,294","$45,868","$58,153"
NC_pct,,48.9%,2.9%,3.1%,3.4%,2.0%,4.9%,6.6%,6.2%,6.5%,6.3%,4.6%,2.0%,0.6%,51.1%,2.8%,3.0%,3.2%,1.9%,4.6%,6.7%,6.4%,6.7%,6.8%,5.3%,2.6%,1.1%,,11.0%,25.2%,30.8%,20.9%,8.8%,1.9%,1.4%,,12.5%,26.9%,29.0%,20.1%,7.6%,2.2%,1.6%,,9.5%,23.7%,32.4%,21.7%,9.8%,1.6%,1.2%,,4.7%,95.3%,,3.3%,96.7%,,67.8%,2.3%,65.5%,62.1%,3.5%,32.2%,,57.8%,0.2%,57.6%,54.5%,3.1%,42.2%,,72.2%,11.2%,11.5%,5.0%,0.2%,,65.8%,16.9%,7.5%,9.7%,0.2%,,94.7%,5.3%,,94.6%,5.4%,,13.7%,6.0%,7.7%,86.3%,42.6%,43.7%,,,,,,,,,,,,,,,,,,
North Dakota,773344,397093,27612,26774,26311,13946,44800,61657,50465,41873,48776,33924,14654,6301,376251,25805,25531,24432,14047,40189,52846,44343,39041,46698,33768,18900,10651,503897,33831,131400,182014,112023,32085,7056,5488,257650,18730,72737,93493,52656,13040,4128,2866,246247,15101,58663,88521,59367,19045,2928,2622,21979,1154,20825,19700,692,19008,312126,231917,6033,225884,217874,8010,80209,295845,192265,1385,190880,185738,5142,103580,217874,142656,29572,30740,14203,703,185738,105224,36387,14182,29395,550,225884,217874,8010,190880,185738,5142,749693,80390,36942,43448,669303,346896,322407,"$45,984","$31,102","$38,526","$43,568","$54,241","$67,412","$53,973","$39,204","$44,494","$53,623","$63,708","$73,108","$38,630","$20,806","$28,354","$34,656","$47,930","$64,373"
ND_pct,,51.4%,3.6%,3.5%,3.4%,1.8%,5.8%,8.0%,6.5%,5.4%,6.3%,4.4%,1.9%,0.8%,48.7%,3.3%,3.3%,3.2%,1.8%,5.2%,6.8%,5.7%,5.1%,6.0%,4.4%,2.4%,1.4%,,6.7%,26.1%,36.1%,22.2%,6.4%,1.4%,1.1%,,7.3%,28.2%,36.3%,20.4%,5.1%,1.6%,1.1%,,6.1%,23.8%,36.0%,24.1%,7.7%,1.2%,1.1%,,5.3%,94.8%,,3.5%,96.5%,,74.3%,1.9%,72.4%,69.8%,2.6%,25.7%,,65.0%,0.5%,64.5%,62.8%,1.7%,35.0%,,65.5%,13.6%,14.1%,6.5%,0.3%,,56.7%,19.6%,7.6%,15.8%,0.3%,,96.5%,3.6%,,97.3%,2.7%,,10.7%,4.9%,5.8%,89.3%,46.3%,43.0%,,,,,,,,,,,,,,,,,,
Ohio,11769923,5800004,351995,366508,390216,237370,539866,776454,715930,737774,792324,564936,240950,85681,5969919,337131,346303,374155,226311,522615,766804,714127,741114,828124,632006,322440,158789,8077453,715751,2636855,2326518,1483021,674554,145311,95443,3914049,369382,1339204,1072851,709485,283772,84527,54828,4163404,346369,1297651,1253667,773536,390782,60784,40615,319068,15253,303815,304355,11957,292398,4612633,3119051,8258,3110793,2939506,171287,1493582,4836849,2862594,2518,2860076,2716957,143119,1974255,2939506,2164191,311033,283768,175303,5211,2716957,1788748,389797,159674,374380,4358,3110793,2939506,171287,2860076,2716957,143119,11451346,1528963,681016,847947,9922383,4941970,4980413,"$42,811","$26,234","$33,778","$39,112","$57,676","$74,231","$50,978","$31,782","$41,018","$47,911","$70,753","$88,006","$35,696","$19,327","$26,497","$32,582","$48,200","$65,594"
OH_pct,,49.3%,3.0%,3.1%,3.3%,2.0%,4.6%,6.6%,6.1%,6.3%,6.7%,4.8%,2.1%,0.7%,50.7%,2.9%,2.9%,3.2%,1.9%,4.4%,6.5%,6.1%,6.3%,7.0%,5.4%,2.7%,1.4%,,8.9%,32.6%,28.8%,18.4%,8.4%,1.8%,1.2%,,9.4%,34.2%,27.4%,18.1%,7.3%,2.2%,1.4%,,8.3%,31.2%,30.1%,18.6%,9.4%,1.5%,1.0%,,4.8%,95.2%,,3.9%,96.1%,,67.6%,0.2%,67.4%,63.7%,3.7%,32.4%,,59.2%,0.1%,59.1%,56.2%,3.0%,40.8%,,73.6%,10.6%,9.7%,6.0%,0.2%,,65.8%,14.4%,5.9%,13.8%,0.2%,,94.5%,5.5%,,95.0%,5.0%,,13.4%,6.0%,7.4%,86.7%,43.2%,43.5%,,,,,,,,,,,,,,,,,,
Oklahoma,3948136,1964927,129519,136180,142822,82948,196910,271531,254745,231695,241267,173216,80827,23267,1983209,123410,130675,136325,79191,182415,264085,248358,228277,251951,193816,101377,43329,2607741,293373,803726,810500,457256,173720,40742,28424,1276548,155556,413134,378264,213598,74948,24284,16764,1331193,137817,390592,432236,243658,98772,16458,11660,110568,6455,104113,104416,4311,100105,1527632,1018679,17439,1001240,949385,51855,508953,1566594,883918,3560,880358,837357,43001,682676,949385,652414,137291,115123,42193,2364,837357,518726,168217,68768,79432,2214,1001240,949385,51855,880358,837357,43001,3837807,583853,263211,320642,3253954,1632834,1621120,"$39,636","$26,575","$32,402","$37,595","$50,486","$63,858","$47,216","$31,684","$40,018","$46,952","$63,385","$80,353","$32,444","$19,343","$25,217","$30,488","$42,545","$54,090"
OK_pct,,49.8%,3.3%,3.5%,3.6%,2.1%,5.0%,6.9%,6.5%,5.9%,6.1%,4.4%,2.1%,0.6%,50.2%,3.1%,3.3%,3.5%,2.0%,4.6%,6.7%,6.3%,5.8%,6.4%,4.9%,2.6%,1.1%,,11.3%,30.8%,31.1%,17.5%,6.7%,1.6%,1.1%,,12.2%,32.4%,29.6%,16.7%,5.9%,1.9%,1.3%,,10.4%,29.3%,32.5%,18.3%,7.4%,1.2%,0.9%,,5.8%,94.2%,,4.1%,95.9%,,66.7%,1.1%,65.5%,62.2%,3.4%,33.3%,,56.4%,0.2%,56.2%,53.5%,2.7%,43.6%,,68.7%,14.5%,12.1%,4.4%,0.3%,,62.0%,20.1%,8.2%,9.5%,0.3%,,94.8%,5.2%,,95.1%,4.9%,,15.2%,6.9%,8.4%,84.8%,42.6%,42.2%,,,,,,,,,,,,,,,,,,
Oregon,4207177,2096429,114886,124130,131624,77796,184620,300714,292494,262643,264235,220081,90549,32657,2110748,108729,117183,125449,73689,177675,292074,283177,254881,278053,241273,108052,50513,2971396,252602,668083,1009617,644813,275519,68616,52146,1463373,138167,342678,483933,310029,120100,38361,30105,1508023,114435,325405,525684,334784,155419,30255,22041,103448,5422,98026,97381,3475,93906,1699756,1136875,3485,1133390,1068250,65140,562881,1734506,1013939,636,1013303,957857,55446,720567,1068250,751091,118335,130498,66260,2066,957857,561142,164052,100033,130528,2102,1133390,1068250,65140,1013303,957857,55446,4128333,498517,230977,267540,3629816,1818876,1810940,"$43,305","$28,938","$33,545","$39,630","$56,297","$75,223","$50,642","$33,587","$39,420","$46,437","$68,379","$90,965","$36,971","$22,159","$27,292","$33,028","$46,689","$64,559"
OR_pct,,49.8%,2.7%,3.0%,3.1%,1.9%,4.4%,7.2%,7.0%,6.2%,6.3%,5.2%,2.2%,0.8%,50.2%,2.6%,2.8%,3.0%,1.8%,4.2%,6.9%,6.7%,6.1%,6.6%,5.7%,2.6%,1.2%,,8.5%,22.5%,34.0%,21.7%,9.3%,2.3%,1.8%,,9.4%,23.4%,33.1%,21.2%,8.2%,2.6%,2.1%,,7.6%,21.6%,34.9%,22.2%,10.3%,2.0%,1.5%,,5.2%,94.8%,,3.6%,96.4%,,66.9%,0.2%,66.7%,62.9%,3.8%,33.1%,,58.5%,0.0%,58.4%,55.2%,3.2%,41.5%,,70.3%,11.1%,12.2%,6.2%,0.2%,,58.6%,17.1%,10.4%,13.6%,0.2%,,94.3%,5.8%,,94.5%,5.5%,,12.1%,5.6%,6.5%,87.9%,44.1%,43.9%,,,,,,,,,,,,,,,,,,
Pennsylvania,12970650,6394217,358907,372560,407426,247022,584520,864033,784542,824294,903026,651629,285611,110647,6576433,341885,360844,381917,233921,570151,837065,774036,825896,936815,723262,380943,209698,9111497,787376,3079339,2227532,1813647,859980,196159,147464,4423782,406277,1537412,1044879,882002,358275,112333,82604,4687715,381099,1541927,1182653,931645,501705,83826,64860,341461,17093,324368,329825,12521,317304,5172417,3484864,7293,3477571,3278110,199461,1687553,5414620,3186445,1126,3185319,3017484,167835,2228175,3278110,2357352,323548,336855,255317,5038,3017484,1962319,363985,170043,516202,4935,3477571,3278110,199461,3185319,3017484,167835,12568252,1482811,656546,826265,11085441,5513892,5571549,"$45,033","$27,928","$34,605","$40,863","$58,740","$77,535","$53,366","$33,742","$42,588","$49,938","$71,106","$94,116","$37,817","$20,231","$27,172","$33,778","$49,912","$67,558"
