Statistics,State,Male_ManagementBusinessandFinancialOperations,Male_ProfessionalandRelated,Male_HealthcareSupport ,Male_ProtectiveService,Male_FoodPrepandServing,Male_BuildingandGroundsCleaningandMaintenance  ,Male_PersonalCareandService,Male_SalesandRelated,Male_OfficeandAdminSupport,Male_FarmingFishingandForestry,Male_ConstructionExtractionandMaintenance,Male_Production,Male_TranspoandMaterialMoving,Fem_ManagementBusinessandFinancialOperations,Fem_ProfessionalandRelated,Fem_HealthcareSupport ,Fem_ProtectiveService,Fem_FoodPrepandServing,Fem_BuildingandGroundsCleaningandMaintenance  ,Fem_PersonalCareandService,Fem_SalesandRelated,Fem_OfficeandAdminSupport,Fem_FarmingFishingandForestry,Fem_ConstructionExtractionandMaintenance,Fem_Production,Fem_TranspoandMaterialMoving,M_F_ManagementBusinessandFinancialOperations,M_F_ProfessionalandRelated,M_F_HealthcareSupport ,M_F_ProtectiveService,M_F_FoodPrepandServing,M_F_BuildingandGroundsCleaningandMaintenance  ,M_F_PersonalCareandService,M_F_SalesandRelated,M_F_OfficeandAdminSupport,M_F_FarmingFishingandForestry,M_F_ConstructionExtractionandMaintenance,M_F_Production,M_F_TranspoandMaterialMoving
Maine,ME,0.157,0.183,0.01,0.028,0.042,0.042,0.009,0.091,0.054,0.025,0.172,0.076,0.111,0.156,0.302,0.07,0.006,0.064,0.029,0.042,0.098,0.171,0.004,0.006,0.028,0.024,M,F,F,M,F,M,F,F,F,M,M,M,M
Maryland,MD,0.19,0.254,0.009,0.041,0.04,0.037,0.013,0.08,0.054,0.003,0.144,0.038,0.098,0.194,0.327,0.047,0.015,0.049,0.028,0.042,0.084,0.165,0.001,0.005,0.016,0.026,F,F,F,M,F,M,F,F,F,M,M,M,M
Massachusetts,MA,0.199,0.253,0.011,0.032,0.044,0.04,0.013,0.091,0.054,0.003,0.124,0.052,0.085,0.186,0.343,0.059,0.008,0.051,0.025,0.044,0.085,0.147,0.001,0.004,0.025,0.022,M,F,F,M,F,M,F,M,F,M,M,M,M
Michigan,MI,0.156,0.196,0.009,0.025,0.046,0.041,0.01,0.088,0.049,0.007,0.136,0.123,0.115,0.146,0.271,0.065,0.008,0.07,0.029,0.04,0.098,0.178,0.003,0.006,0.053,0.035,M,F,F,M,F,M,F,F,F,M,M,M,M
Minnesota,MN,0.186,0.201,0.012,0.02,0.039,0.038,0.01,0.097,0.055,0.01,0.135,0.093,0.106,0.17,0.308,0.065,0.006,0.059,0.024,0.042,0.089,0.16,0.003,0.005,0.04,0.028,M,F,F,M,F,M,F,M,F,M,M,M,M
Mississippi,MS,0.126,0.144,0.005,0.037,0.043,0.043,0.012,0.086,0.043,0.011,0.181,0.112,0.156,0.115,0.295,0.056,0.011,0.069,0.032,0.038,0.112,0.175,0.002,0.006,0.054,0.034,M,F,F,M,F,M,F,F,F,M,M,M,M
Missouri,MO,0.162,0.177,0.008,0.029,0.046,0.04,0.011,0.098,0.053,0.008,0.152,0.093,0.124,0.153,0.289,0.059,0.009,0.063,0.025,0.04,0.099,0.184,0.002,0.006,0.038,0.036,M,F,F,M,F,M,F,F,F,M,M,M,M
Montana,MT,0.171,0.17,0.011,0.029,0.052,0.044,0.012,0.095,0.043,0.025,0.184,0.056,0.11,0.15,0.278,0.058,0.011,0.081,0.035,0.043,0.101,0.179,0.007,0.01,0.02,0.027,M,F,F,M,F,M,F,F,F,M,M,M,M
Nebraska,NE,0.184,0.17,0.007,0.024,0.04,0.036,0.009,0.091,0.054,0.021,0.157,0.092,0.116,0.143,0.292,0.058,0.008,0.064,0.026,0.051,0.092,0.185,0.004,0.005,0.045,0.026,M,F,F,M,F,M,F,F,F,M,M,M,M
Nevada,NV,0.135,0.149,0.008,0.045,0.088,0.05,0.036,0.092,0.062,0.003,0.16,0.049,0.124,0.136,0.218,0.043,0.014,0.091,0.058,0.061,0.124,0.183,0.001,0.008,0.025,0.039,F,F,F,M,F,F,F,F,F,M,M,M,M
New Hampshire,NH,0.174,0.212,0.006,0.026,0.046,0.037,0.01,0.105,0.049,0.005,0.157,0.083,0.089,0.169,0.301,0.054,0.006,0.062,0.025,0.041,0.103,0.169,0.002,0.005,0.039,0.025,M,F,F,M,F,M,F,M,F,M,M,M,M
New Jersey,NJ,0.205,0.214,0.008,0.037,0.038,0.036,0.013,0.1,0.057,0.002,0.127,0.049,0.114,0.172,0.315,0.051,0.01,0.044,0.027,0.043,0.097,0.175,0.001,0.004,0.026,0.035,M,F,F,M,F,M,F,M,F,M,M,M,M
New Mexico,NM,0.14,0.2,0.016,0.041,0.051,0.045,0.015,0.089,0.053,0.014,0.182,0.049,0.105,0.14,0.296,0.076,0.012,0.066,0.034,0.037,0.104,0.183,0.003,0.006,0.018,0.026,F,F,F,M,F,M,F,F,F,M,M,M,M
New York,NY,0.174,0.216,0.014,0.044,0.052,0.045,0.018,0.094,0.061,0.003,0.127,0.047,0.105,0.157,0.325,0.082,0.014,0.045,0.03,0.045,0.091,0.165,0.001,0.004,0.02,0.021,M,F,F,M,M,M,F,M,F,M,M,M,M
North Carolina,NC,0.172,0.181,0.007,0.028,0.045,0.044,0.011,0.097,0.049,0.008,0.157,0.086,0.115,0.158,0.29,0.054,0.009,0.065,0.028,0.038,0.109,0.16,0.002,0.008,0.048,0.032,M,F,F,M,F,M,F,F,F,M,M,M,M
North Dakota,ND,0.19,0.148,0.011,0.022,0.043,0.04,0.01,0.091,0.047,0.025,0.184,0.071,0.119,0.142,0.305,0.067,0.008,0.066,0.033,0.055,0.089,0.173,0.005,0.005,0.024,0.027,M,F,F,M,F,M,F,M,F,M,M,M,M
Ohio,OH,0.163,0.179,0.008,0.029,0.045,0.041,0.01,0.09,0.056,0.004,0.132,0.113,0.131,0.147,0.283,0.061,0.008,0.07,0.025,0.037,0.096,0.179,0.002,0.006,0.048,0.04,M,F,F,M,F,M,F,F,F,M,M,M,M
Oklahoma,OK,0.15,0.165,0.007,0.03,0.042,0.041,0.012,0.091,0.05,0.01,0.188,0.095,0.12,0.143,0.275,0.056,0.009,0.073,0.032,0.045,0.104,0.191,0.003,0.008,0.03,0.031,M,F,F,M,F,M,F,F,F,M,M,M,M
Oregon,OR,0.172,0.207,0.013,0.024,0.05,0.038,0.009,0.093,0.058,0.024,0.133,0.075,0.104,0.159,0.285,0.072,0.008,0.071,0.027,0.042,0.094,0.17,0.006,0.007,0.029,0.032,M,F,F,M,F,M,F,F,F,M,M,M,M
Pennsylvania,PA,0.17,0.195,0.011,0.03,0.043,0.039,0.012,0.09,0.053,0.006,0.141,0.084,0.128,0.149,0.302,0.067,0.01,0.062,0.025,0.04,0.096,0.176,0.002,0.005,0.032,0.035,M,F,F,M,F,M,F,F,F,M,M,M,M
Rhode Island,RI,0.16,0.208,0.009,0.035,0.052,0.049,0.013,0.1,0.058,0.003,0.138,0.076,0.098,0.151,0.3,0.067,0.012,0.067,0.022,0.041,0.099,0.178,0.001,0.003,0.033,0.028,M,F,F,M,F,M,F,M,F,M,M,M,M
South Carolina,SC,0.152,0.167,0.006,0.031,0.052,0.049,0.012,0.094,0.047,0.006,0.163,0.104,0.118,0.136,0.28,0.051,0.01,0.067,0.031,0.037,0.115,0.176,0.002,0.009,0.053,0.034,M,F,F,M,F,M,F,F,F,M,M,M,M
South Dakota,SD,0.188,0.15,0.007,0.025,0.046,0.04,0.01,0.096,0.043,0.028,0.162,0.089,0.117,0.137,0.284,0.057,0.009,0.068,0.034,0.047,0.096,0.193,0.006,0.007,0.039,0.026,M,F,F,M,F,M,F,F,F,M,M,M,M
Tennessee,TN,0.155,0.171,0.007,0.031,0.045,0.043,0.01,0.094,0.055,0.006,0.152,0.101,0.133,0.143,0.276,0.05,0.01,0.068,0.028,0.037,0.105,0.181,0.002,0.007,0.053,0.041,M,F,F,M,F,M,F,F,F,M,M,M,M
Texas,TX,0.167,0.179,0.008,0.031,0.045,0.037,0.011,0.097,0.055,0.006,0.179,0.069,0.118,0.158,0.273,0.056,0.012,0.065,0.037,0.041,0.111,0.179,0.001,0.007,0.027,0.034,M,F,F,M,F,F,F,F,F,M,M,M,M
Utah,UT,0.187,0.209,0.008,0.022,0.035,0.036,0.009,0.099,0.067,0.004,0.15,0.074,0.1,0.143,0.271,0.046,0.008,0.06,0.03,0.048,0.099,0.212,0.002,0.006,0.042,0.033,M,F,F,M,F,M,F,F,F,M,M,M,M
Vermont,VT,0.168,0.21,0.013,0.019,0.047,0.044,0.014,0.084,0.049,0.02,0.167,0.082,0.083,0.163,0.342,0.047,0.007,0.062,0.034,0.038,0.087,0.154,0.007,0.008,0.036,0.017,M,F,F,M,F,M,F,F,F,M,M,M,M
Virginia,VA,0.197,0.235,0.007,0.039,0.042,0.037,0.012,0.086,0.049,0.005,0.139,0.056,0.097,0.186,0.311,0.048,0.014,0.057,0.028,0.043,0.094,0.159,0.001,0.007,0.025,0.028,M,F,F,M,F,M,F,F,F,M,M,M,M
Washington,WA,0.179,0.23,0.011,0.026,0.044,0.035,0.009,0.084,0.05,0.02,0.141,0.064,0.107,0.173,0.293,0.063,0.009,0.061,0.025,0.044,0.096,0.16,0.009,0.007,0.025,0.035,M,F,F,M,F,M,F,F,F,M,M,M,M
West Virginia,WV,0.119,0.16,0.012,0.038,0.042,0.044,0.012,0.091,0.052,0.005,0.193,0.09,0.142,0.117,0.303,0.077,0.008,0.077,0.033,0.038,0.11,0.179,0.001,0.006,0.02,0.032,M,F,F,M,F,M,F,F,F,M,M,M,M
Wisconsin,WI,0.161,0.172,0.009,0.024,0.041,0.038,0.008,0.086,0.048,0.012,0.143,0.133,0.124,0.149,0.282,0.069,0.007,0.062,0.025,0.039,0.091,0.177,0.004,0.005,0.055,0.035,M,F,F,M,F,M,F,F,F,M,M,M,M
Wyoming,WY,0.154,0.167,0.004,0.025,0.047,0.039,0.013,0.073,0.036,0.018,0.237,0.068,0.119,0.138,0.286,0.061,0.01,0.072,0.039,0.044,0.091,0.189,0.005,0.011,0.019,0.035,M,F,F,M,F,F,F,F,F,M,M,M,M
