Statistics,SE:A13005H. Poverty Status in the Past 12 Months by Sex (Hispanic or Latino),Total,Income in the Past 12 Months Below Poverty Level,Male,Female,Income in the Past 12 Months At or Above Poverty Level,Male,Female,"SE:A13005I. Poverty Status in the Past 12 Months by Sex (White Alone, Not Hispanic or Latino)",Total,Income in the Past 12 Months Below Poverty Level,Male,Female,Income in the Past 12 Months At or Above Poverty Level,Male,Female,SE:A13005G. Poverty Status in the Past 12 Months by Sex (Two or More Races),Total,Income in the Past 12 Months Below Poverty Level,Male,Female,Income in the Past 12 Months At or Above Poverty Level,Male,Female,SE:A13005F. Poverty Status in the Past 12 Months by Sex (Some Other Race Alone),Total,Income in the Past 12 Months Below Poverty Level,Male,Female,Income in the Past 12 Months At or Above Poverty Level,Male,Female,SE:A13005E. Poverty Status in the Past 12 Months by Sex (Native Hawaiian and Other Pacific Islander Alone),Total,Income in the Past 12 Months Below Poverty Level,Male,Female,Income in the Past 12 Months At or Above Poverty Level,Male,Female,SE:A13005D. Poverty Status in the Past 12 Months by Sex (Asian Alone),Total,Income in the Past 12 Months Below Poverty Level,Male,Female,Income in the Past 12 Months At or Above Poverty Level,Male,Female,SE:A13005C. Poverty Status in the Past 12 Months by Sex (American Indian and Alaska Native Alone),Total,Income in the Past 12 Months Below Poverty Level,Male,Female,Income in the Past 12 Months At or Above Poverty Level,Male,Female,SE:A13005B. Poverty Status in the Past 12 Months by Sex (Black or African American Alone),Total,Income in the Past 12 Months Below Poverty Level,Male,Female,Income in the Past 12 Months At or Above Poverty Level,Male,Female,SE:A13005A. Poverty Status in the Past 12 Months by Sex (White Alone),Total,Income in the Past 12 Months Below Poverty Level,Male,Female,Income in the Past 12 Months At or Above Poverty Level,Male,Female,SE:A12001. Educational Attainment for Population 25 Years and Over,Population 25 Years and Over:,Less than High School,High School Graduate (Includes Equivalency),Some College,Bachelor's Degree,Master's Degree,Professional School Degree,Doctorate Degree,SE:A12001A. Educational Attainment for Male Population 25 Years and Over,Male Population 25 Years and Over:,Less than High School,High School Graduate (Includes Equivalency),Some College,Bachelor's Degree,Master's Degree,Professional School Degree,Doctorate Degree,SE:A12001B. Educational Attainment for Female Population 25 Years and Over,Female Population 25 Years and Over:,Less than High School,High School Graduate (Includes Equivalency),Some College,Bachelor's Degree,Master's Degree,Professional School Degree,Doctorate Degree,SE:A17008. Occupation for Employed Civilian Population 16 Years and Over,Employed Civilian Population 16 Years and Over:,"Management, Professional, and Related Occupations",Service Occupations,Sales and Office Occupations:,"Farming, Fishing, and Forestry Occupations","Construction, Extraction, and Maintenance  Occupations","Production, Transportation, and Material Moving  Occupations:",Production Occupations,Transportation and Material Moving Occupations,SE:A14001. Household Income (In 2021 Inflation Adjusted Dollars),Households:,"Less than $10,000","$10,000 to $14,999","$15,000 to $19,999","$20,000 to $24,999","$25,000 to $29,999","$30,000 to $34,999","$35,000 to $39,999","$40,000 to $44,999","$45,000 to $49,999","$50,000 to $59,999","$60,000 to $74,999","$75,000 to $99,999","$100,000 to $124,999","$125,000 to $149,999","$150,000 to $199,999","$200,000 or More",SE:A02002. Sex by Age,Total Population:,Male:,Under 5 Years,5 to 9 Years,10 to 14 Years,15 to 17 Years,18 to 24 Years,25 to 34 Years,35 to 44 Years,45 to 54 Years,55 to 64 Years,65 to 74 Years,75 to 84 Years,85 Years and Over,Female:,Under 5 Years,5 to 9 Years,10 to 14 Years,15 to 17 Years,18 to 24 Years,25 to 34 Years,35 to 44 Years,45 to 54 Years,55 to 64 Years,65 to 74 Years,75 to 84 Years,85 Years and Over,SE:A13005. Poverty Status in the Past 12 Months by Sex,Total,Income in the Past 12 Months Below Poverty Level,Male,Female,Income in the Past 12 Months At or Above Poverty Level,Male,Female,SE:A03001. Race,Total Population:,White Alone,Black or African American Alone,American Indian and Alaska Native Alone,Asian Alone,Native Hawaiian and Other Pacific Islander Alone,Some Other Race Alone,Two or More Races,SE:A17005A. Unemployment Rate for Civilian Male Population,Civilian Male in Labor Force 16 Years and Over:,Employed,Unemployed,SE:A17005B. Unemployment Rate for Civilian Female Population,Civilian Female in Labor Force 16 Years and Over:,Employed,Unemployed
Georgia,,1024826,205514,97396,108118,819312,434108,385204,,5346167,510938,226345,284593,4835229,2406765,2428464,,501756,82987,39598,43389,418769,212587,206182,,327818,71961,32893,39068,255857,136912,118945,,6752,1143,554,589,5609,2805,2804,,438321,43207,19837,23370,395114,190750,204364,,33754,8376,4216,4160,25378,13099,12279,,3240362,633240,268296,364944,2607122,1227514,1379608,,5808132,600437,267454,332983,5207695,2603746,2603949,,7075856,831989,1925348,1983294,1426415,643718,161767,103325,,3379874,441780,975066,888217,674606,268176,80749,51280,,3695982,390209,950282,1095077,751809,375542,81018,52045,,4983753,1963375,784435,1074970,22929,407832,730212,292543,437669,,3885371,235927,154077,156142,164692,171692,169670,160058,159885,141895,290406,385679,500145,355143,248254,275916,315790,,10625615,5191616,329092,350442,385435,228016,518757,721328,686105,690137,631328,424233,175792,50951,5433999,314626,335684,369232,219670,498805,740657,722751,720678,683040,500530,233171,95155,,10356895,1441351,632848,808503,8915544,4387413,4528131,,10625615,5934931,3350903,34928,448181,6894,334875,514903,,2718834,2576175,142659,,2555762,2407578,148184
Hawaii,,152937,18730,8769,9961,134207,68665,65542,,297146,28552,14397,14155,268594,143297,125297,,348291,35195,16335,18860,313096,158102,154994,,21770,1572,853,719,20198,11416,8782,,148964,27821,12670,15151,121143,63593,57550,,536577,33001,14236,18765,503576,237515,266061,,4012,825,342,483,3187,1659,1528,,25496,2376,1547,829,23120,14104,9016,,329608,32950,16160,16790,296658,157917,138741,,1020422,74468,273929,321607,226399,83849,24381,15789,,505081,35381,143573,161211,105752,36915,13100,9149,,515341,39087,130356,160396,120647,46934,11281,6640,,680301,249328,152874,152942,5267,57414,62476,16953,45523,,478413,22771,12094,11503,13356,12752,15475,13995,15579,14229,28406,43501,65498,53986,40256,53902,61110,,1453498,732172,45527,44814,45331,24728,66691,105291,96263,88254,92087,75726,33531,13929,721326,42240,42166,42674,23540,55365,97249,92182,86904,93403,79928,40383,25292,,1414718,133740,62143,71597,1280978,644306,636672,,1453498,344295,28142,4286,544643,153485,23633,355014,,367482,347922,19560,,349971,332379,17592
Idaho,,230300,38337,17902,20435,191963,99725,92238,,1436587,145088,64293,80795,1291499,654973,636526,,101746,13316,6471,6845,88430,44241,44189,,76981,13042,6435,6607,63939,32809,31130,,2906,934,329,605,1972,991,981,,24244,3575,1621,1954,20669,9278,11391,,21777,5623,2539,3084,16154,8395,7759,,11266,2769,1289,1480,8497,5463,3034,,1541955,163301,72540,90761,1378654,700627,678027,,1185197,104683,314521,420711,231259,79872,19205,14946,,590472,57177,164054,199101,108871,39242,12199,9828,,594725,47506,150467,221610,122388,40630,7006,5118,,847426,309585,142345,180598,18569,84097,112232,47301,64931,,657101,28187,24693,25753,28614,28106,30952,28252,30060,27652,57359,76548,90429,65644,38814,38881,37157,,1811617,912529,58614,65157,69888,41468,86930,119690,118420,105995,109439,87447,38358,11123,899088,56355,61224,66826,39298,80660,115613,114768,101830,112344,90572,41927,17671,,1780875,202560,91224,111336,1578315,801804,776511,,1811617,1567799,12242,22799,24616,3016,77835,103310,,481144,461115,20029,,401915,386311,15604
Illinois,,2215044,313615,143316,170299,1901429,987427,914002,,7559419,627051,277980,349071,6932368,3458954,3473414,,736771,95812,44314,51498,640959,330195,310764,,789459,120849,55230,65619,668610,351004,317606,,4939,700,284,416,4239,1901,2338,,712921,73858,33813,40045,639063,310476,328587,,41440,5325,2314,3011,36115,18867,17248,,1727701,426484,184111,242373,1301217,609005,692212,,8516060,760350,337533,422817,7755710,3882337,3873373,,8764878,885321,2226182,2483806,1910757,920298,212604,125910,,4262102,460172,1133246,1172109,915516,393387,118110,69562,,4502776,425149,1092936,1311697,995241,526911,94494,56348,,6273473,2555193,1038968,1310129,19157,431363,918663,382655,536008,,4930255,289764,172660,175054,190868,190719,188564,177497,186475,164858,339016,462671,634032,491848,349265,418667,498297,,12821813,6332176,381213,397940,433292,262755,594874,882628,843768,819285,826202,559618,243598,87003,6489637,364468,383394,413063,251226,574710,868914,832953,821198,857195,630669,323653,168194,,12529291,1483378,657599,825779,11045913,5503785,5542128,,12821813,8699413,1804013,42714,725482,5111,795980,749100,,3507439,3285186,222253,,3179075,2988287,190788
Indiana,,482256,93462,43044,50418,388794,204382,184412,,5111054,511810,223594,288216,4599244,2301991,2297253,,279873,50541,22798,27743,229332,114237,115095,,164066,34715,16894,17821,129351,69834,59517,,2208,324,236,88,1884,961,923,,155684,22875,12511,10364,132809,64686,68123,,10749,2171,1193,978,8578,4127,4451,,606242,156589,67655,88934,449653,217791,231862,,5332099,551790,241637,310153,4780309,2396378,2383931,,4501214,460480,1485995,1301440,797977,334885,69354,51083,,2192385,239818,760404,602124,377188,142331,40453,30067,,2308829,220662,725591,699316,420789,192554,28901,21016,,3250923,1169138,513964,655339,12077,268166,632239,331658,300581,,2622601,145585,100870,108061,119770,117823,125198,118020,119893,104313,215363,277437,362436,249847,159424,157816,140745,,6751340,3344360,213036,222731,237190,142459,336559,441929,423372,420733,433858,301294,127233,43966,3406980,202506,213179,225170,135816,321480,437003,420081,418213,448478,335267,166340,83447,,6550921,819005,362924,456081,5731916,2868014,2863902,,6751340,5483296,635076,11399,163657,2276,167683,287953,,1798804,1712086,86718,,1612609,1538837,73772
Iowa,,198024,35442,16088,19354,162582,86704,75878,,2605390,242203,105584,136619,2363187,1189054,1174133,,120147,23142,10836,12306,97005,50578,46427,,45741,7897,3420,4477,37844,20467,17377,,4092,972,462,510,3120,1773,1347,,77271,10682,6067,4615,66589,32365,34224,,10337,2364,1005,1359,7973,4016,3957,,110945,32909,15963,16946,78036,41008,37028,,2716065,261729,114193,147536,2454336,1237148,1217188,,2119884,152380,648873,688911,423852,144056,34880,26932,,1047159,82411,345108,325125,197910,60420,21010,15175,,1072725,69969,303765,363786,225942,83636,13870,11757,,1620796,609180,253347,326164,18807,137187,276111,135227,140884,,1275893,59741,48339,52101,52000,53327,56748,53624,57183,49872,104349,135773,181264,132691,83649,81830,73402,,3179090,1590001,99307,105743,108860,65647,163285,201396,201886,188639,209780,152458,66406,26594,1589089,95263,99107,106302,61946,153746,193335,190776,183192,210338,160760,86783,47541,,3084598,339695,151946,187749,2744903,1387355,1357548,,3179090,2795319,119036,10889,79188,4182,46711,123765,,891395,855577,35818,,795301,765219,30082
Kansas,,353974,65210,28331,36879,288764,153053,135711,,2136869,194292,84736,109556,1942577,975126,967451,,174422,30226,12670,17556,144196,74660,69536,,87457,17635,8664,8971,69822,38438,31384,,2105,434,200,234,1671,881,790,,86227,11713,5845,5868,74514,36437,38077,,20058,3904,1691,2213,16154,8482,7672,,154517,36702,16993,19709,117815,61308,56507,,2325916,226595,98396,128199,2099321,1055819,1043502,,1921951,161293,493339,606084,415201,181958,37562,26514,,947359,87392,257558,288325,196959,79789,22062,15274,,974592,73901,235781,317759,218242,102169,15500,11240,,1450216,576682,234620,293960,13368,123082,208504,99544,108960,,1139738,56498,41861,42990,49867,51059,50147,48311,50585,48708,91904,118637,155373,109764,72494,76839,74701,,2932099,1468152,95187,104105,104313,62942,154246,193833,186672,170798,185544,132021,56124,22367,1463947,90089,98651,99835,59029,141751,184148,179951,166457,190520,141352,72067,40097,,2850702,327209,144459,182750,2523493,1276025,1247468,,2932099,2386766,165291,21657,87946,2196,88787,179456,,799661,765976,33685,,712402,684240,28162
Kentucky,,167940,39658,19419,20239,128282,69684,58598,,3655721,546327,239356,306971,3109394,1557995,1551399,,153198,34879,16270,18609,118319,60757,57562,,49085,12392,6403,5989,36693,20173,16520,,3767,671,259,412,3096,1596,1500,,67306,9024,4284,4740,58282,27068,31214,,6653,1609,784,825,5044,2544,2500,,343477,86624,40077,46547,256853,126481,130372,,3735695,563941,247555,316386,3171754,1591170,1580584,,3053564,376963,1000507,891024,461841,232970,56514,33745,,1483976,202214,519372,401205,224197,88754,30083,18151,,1569588,174749,481135,489819,237644,144216,26431,15594,,2009185,718077,317925,422590,11652,166512,372429,179882,192547,,1748475,130824,92428,84138,85788,88985,84516,80111,79645,69846,136297,175317,218767,150697,95197,90904,85015,,4494141,2223783,139220,144884,149328,91259,215116,294612,281148,286360,293125,212674,90249,25808,2270358,131639,134664,146208,84707,203552,287128,279778,286676,309886,237606,119685,48829,,4359181,709140,315632,393508,3650041,1829789,1820252,,4494141,3842383,361703,7114,68737,3961,51365,158878,,1110836,1049398,61438,,1011044,959787,51257
Louisiana,,238736,56008,26192,29816,182728,99876,82852,,2639584,317371,136612,180759,2322213,1162065,1160148,,172614,37496,16413,21083,135118,68666,66452,,76790,22809,10650,12159,53981,29072,24909,,2142,418,213,205,1724,862,862,,79169,10664,5751,4913,68505,32647,35858,,24950,5122,1869,3253,19828,10663,9165,,1429026,433404,188456,244948,995622,476791,518831,,2746854,340573,147531,193042,2406281,1207908,1198373,,3133855,431595,1036204,865973,511447,200435,56205,31996,,1506361,234573,529488,392370,227069,72846,31941,18074,,1627494,197022,506716,473603,284378,127589,24264,13922,,2013907,731491,373546,428393,10350,211143,258984,104409,154575,,1748688,151146,100353,96943,93985,88674,84897,73390,74299,62367,126078,156220,198838,143870,96281,102229,99118,,4657305,2283561,151391,153155,162798,94784,215072,321954,298693,272146,293109,206992,84806,28661,2373744,145968,147702,155675,89610,207295,325281,302520,283509,314197,236480,115243,50264,,4531545,850486,370883,479603,3681059,1826609,1854450,,4657305,2805875,1486002,25550,80438,2172,79627,177641,,1116135,1035878,80257,,1044071,978029,66042
Maine,,23074,3368,1702,1666,19706,10102,9604,,1219397,127964,56661,71303,1091433,542494,548939,,44572,6982,3276,3706,37590,18387,19203,,6619,847,476,371,5772,3137,2635,,228,50,21,29,178,102,76,,13568,1623,607,1016,11945,4939,7006,,7335,1881,855,1026,5454,2733,2721,,17889,4717,2617,2100,13172,7335,5837,,1231278,129892,57808,72084,1101386,547654,553732,,994900,62607,307382,290461,209253,89039,21308,14850,,482306,35657,161256,137092,94014,34641,11734,7912,,512594,26950,146126,153369,115239,54398,9574,6938,,681187,270644,115875,140132,10071,62028,82437,35884,46553,,571064,28613,26574,24497,25541,25222,24786,25787,25043,21818,44126,57818,79889,54723,35624,37807,33196,,1357046,668308,32899,35609,38348,24154,54992,81330,78454,88903,104428,82589,35269,11333,688738,31033,33921,35708,22913,52569,80921,79853,90204,109986,88670,42366,20594,,1321489,145992,65660,80332,1175497,584287,591210,,1357046,1261097,19525,7578,14917,228,6800,46901,,365634,348450,17184,,345716,332737,12979
Maryland,,638068,79578,34433,45145,558490,295439,263051,,2977009,182373,79324,103049,2794636,1384816,1409820,,325292,35113,15714,19399,290179,142733,147446,,322264,49109,20835,28274,273155,148057,125098,,2780,100,58,42,2680,1440,1240,,391625,29652,13322,16330,361973,173270,188703,,16596,2634,1069,1565,13962,7106,6856,,1773315,231217,98668,132549,1542098,723111,818987,,3174905,202249,88547,113702,2972656,1476280,1496376,,4240795,391353,1014292,1072668,934036,578591,134194,115661,,2022696,205213,515553,484496,438484,242643,72431,63876,,2218099,186140,498739,588172,495552,335948,61763,51785,,3120977,1502928,500430,594176,6010,237349,280084,85584,194500,,2294270,104364,58719,58449,59722,64565,67094,65951,71433,65792,140344,196437,289593,250383,194076,263465,343883,,6148545,2995146,185279,191750,204033,120450,270938,412275,395351,398574,401452,261463,114345,39236,3153399,178187,185444,192426,115580,263663,417624,410034,421672,433923,308315,152385,74146,,6006777,550074,238213,311861,5456703,2671997,2784706,,6148545,3238671,1833987,17266,397087,2928,326831,331775,,1679254,1590284,88970,,1617230,1530693,86537
Massachusetts,,839818,189115,83223,105892,650703,333226,317477,,4714838,322125,137259,184866,4392713,2163462,2229251,,437569,71226,32534,38692,366343,182066,184277,,310642,65394,29429,35965,245248,127292,117956,,2170,397,217,180,1773,832,941,,457737,52229,24227,28002,405508,196800,208708,,14318,3437,1452,1985,10881,6051,4830,,489391,81814,35620,46194,407577,200330,207247,,5044390,394283,169139,225144,4650107,2293246,2356861,,4902868,433215,1137085,1116219,1215939,701003,151981,147426,,2355680,217023,588877,504098,582287,299697,80224,83474,,2547188,216192,548208,612121,633652,401306,71757,63952,,3667019,1796224,597671,688208,7647,238221,339048,141289,197759,,2714448,129130,107951,89069,85653,81918,82438,77804,80065,72316,152326,213588,316270,267817,215561,300065,442477,,6991852,3413174,183397,189716,208481,129924,345976,495954,432400,450590,468917,318673,134840,54306,3578678,174546,182121,197419,124120,353284,494669,440996,468840,494471,364247,179444,104521,,6756217,668780,292618,376162,6087437,3006617,3080820,,6991852,5211704,511394,14939,480944,2406,318785,451680,,1982993,1869455,113538,,1893985,1797564,96421
Michigan,,527961,101706,47270,54436,426255,220963,205292,,7312888,754600,337171,417429,6558288,3298607,3259681,,452607,80541,36712,43829,372066,186756,185310,,139986,28887,13669,15218,111099,57753,53346,,2806,722,379,343,2084,1095,989,,314460,35650,16803,18847,278810,139250,139560,,46802,9480,4738,4742,37322,17967,19355,,1320975,351581,159196,192385,969394,458577,510817,,7572669,803197,359124,444073,6769472,3408245,3361227,,6923132,582901,1971279,2249290,1287856,615472,130123,86211,,3376224,308355,1003509,1052807,613113,271926,75619,50895,,3546908,274546,967770,1196483,674743,343546,54504,35316,,4692409,1797451,792398,951754,22798,346833,781175,421288,359887,,3976729,234431,158947,159020,173613,175690,184102,173121,176960,153958,310900,400974,526260,369813,248749,266048,264143,,10062512,4983325,288862,306114,324974,202816,484335,658800,597211,638651,696811,498907,211710,74134,5079187,275955,288805,309219,192111,466189,640235,595069,643527,719772,547999,266360,133946,,9850305,1310058,590621,719437,8540247,4269643,4270604,,10062512,7715291,1368177,48361,322218,2915,142181,463369,,2627519,2457622,169897,,2375441,2234787,140654
Minnesota,,312432,51179,22653,28526,261253,138873,122380,,4355472,297106,132404,164702,4058366,2042516,2015850,,252798,33796,15556,18240,219002,111595,107407,,118350,19098,8625,10473,99252,53936,45316,,2226,399,175,224,1827,1107,720,,278260,33884,16006,17878,244376,119490,124886,,49406,15413,6792,8621,33993,16566,17427,,363305,90876,42988,47888,272429,140792,131637,,4486088,318846,142015,176831,4167242,2100119,2067123,,3847501,247610,919096,1235333,944751,354504,87755,58452,,1908917,131829,486284,601199,452988,155311,49425,31881,,1938584,115781,432812,634134,491763,199193,38330,26571,,2980477,1283422,463728,591110,19888,216650,405679,201668,204011,,2229100,86754,71530,68200,73018,75841,81608,78406,84299,79340,159459,218727,311870,242477,178637,203105,215829,,5670472,2839135,178137,190312,193180,115182,253407,385927,377602,349494,381387,260417,111717,42373,2831337,170331,179033,187238,110156,245995,370288,361112,339102,381072,275175,138605,73230,,5550433,512312,232157,280155,5038121,2543605,2494516,,5670472,4576758,376406,52695,283382,2338,120011,258882,,1624602,1552811,71791,,1481182,1427666,53516
Mississippi,,90674,22734,10732,12002,67940,36803,31137,,1621081,189747,79599,110148,1431334,717702,713632,,67582,13791,6041,7750,53791,27660,26131,,36323,9477,4944,4533,26846,14600,12246,,1025,218,50,168,807,273,534,,28321,3999,1988,2011,24322,11317,13005,,12837,4315,1984,2331,8522,4177,4345,,1069373,325541,139358,186183,743832,355529,388303,,1658671,199770,84344,115426,1458901,732290,726611,,1974105,283522,588217,643438,280355,127528,29987,21058,,937712,154428,303003,286430,121467,44712,16747,10925,,1036393,129094,285214,357008,158888,82816,13240,10133,,1240790,420798,214602,256752,8063,118194,222381,103773,118608,,1108670,96864,71226,66261,62756,61500,57609,49001,52163,44649,84639,103326,130944,84237,50851,50588,42056,,2967023,1444255,93586,93551,110455,63283,145668,187783,181643,176219,183705,134243,58641,15478,1522768,88560,94546,102156,59917,141196,192844,190763,187899,200318,153935,78431,32203,,2874132,557111,238709,318402,2317021,1145846,1171175,,2967023,1701989,1113414,13357,29092,1129,38053,69989,,675709,630184,45525,,656258,610606,45652
Missouri,,263469,48173,22090,26083,215296,111480,103816,,4677250,499916,222217,277699,4177334,2086203,2091131,,272359,47281,22439,24842,225078,113232,111846,,82256,15118,7267,7851,67138,35003,32135,,8172,1910,817,1093,6262,3147,3115,,120088,14810,7102,7708,105278,50023,55255,,18712,3878,2043,1835,14834,7679,7155,,663873,155844,66589,89255,508029,242876,265153,,4802449,523182,232515,290667,4279267,2138055,2141212,,4187819,377539,1276601,1248480,789957,363092,78069,54081,,2027918,197290,654557,576298,376037,148498,44217,31021,,2159901,180249,622044,672182,413920,214594,33852,23060,,2945966,1144175,480298,631894,15131,239488,434980,195705,239275,,2433819,136741,104623,103576,111485,112400,118453,107580,110438,99251,194118,249881,322544,222322,145771,147830,146806,,6141534,3027741,188129,196550,205388,123453,286303,406863,383011,369588,406898,287399,130452,43707,3113793,179003,183572,198719,117561,275037,407488,380073,374543,425519,324210,169217,78851,,5967909,762023,338772,423251,5205886,2590015,2615871,,6141534,4930466,695678,19904,123406,8468,84084,279528,,1597956,1523859,74097,,1486830,1422107,64723
Montana,,42352,6879,3301,3578,35473,17983,17490,,898283,95576,45677,49899,802707,409579,393128,,47450,7358,3383,3975,40092,20090,20002,,9805,1514,854,660,8291,4370,3921,,542,39,1,38,503,201,302,,8791,1278,628,650,7513,2999,4514,,62222,21719,10666,11053,40503,20116,20387,,5718,887,455,432,4831,2997,1834,,918776,98717,47082,51635,820059,418007,402052,,746462,42160,207496,245580,166825,57507,15666,11228,,373214,23630,110899,117245,80437,25347,9203,6453,,373248,18530,96597,128335,86388,32160,6463,4775,,526641,200988,97543,107724,8529,53960,57897,20602,37295,,436481,22775,19427,17382,20903,21877,22221,19282,19981,16757,35826,47545,57062,39990,24858,26117,24478,,1077978,545671,31226,33436,34933,20506,52356,70343,68258,62006,74706,62808,27422,7671,532307,29140,31527,32575,19472,46345,67748,64583,59516,76848,62660,29182,12711,,1053304,131512,63069,68443,921792,468780,453012,,1077978,938223,6236,65452,8972,581,10155,48359,,291733,279338,12395,,257211,247303,9908
Nebraska,,218697,39414,18529,20885,179283,94813,84470,,1477763,118904,51826,67078,1358859,684806,674053,,97494,14936,6830,8106,82558,40752,41806,,57924,11421,5521,5900,46503,25898,20605,,1138,272,103,169,866,388,478,,47149,5682,2524,3158,41467,20376,21091,,16970,3905,1717,2188,13065,6489,6576,,88967,19913,9398,10515,69054,36190,32864,,1589874,139326,61315,78011,1450548,732993,717555,,1275315,105606,326345,423189,274664,103385,24415,17711,,632023,56827,170751,206004,130004,45067,13847,9523,,643292,48779,155594,217185,144660,58318,10568,8188,,1011989,396929,160031,210072,13359,86327,145271,70646,74625,,766887,35439,27932,28168,30097,32002,34415,31217,34615,29878,61808,81857,108503,79987,50586,52519,47864,,1951480,978863,66837,69746,71254,42180,96823,130233,127143,113342,122246,86805,37956,14298,972617,63563,65190,67848,39292,93432,124874,120806,108169,122731,93193,46589,26930,,1899516,195455,87408,108047,1704061,863086,840975,,1951480,1630376,93358,17937,48379,1175,60041,100214,,553185,534807,18378,,493278,477182,16096
Nevada,,886103,142259,63602,78657,743844,384575,359269,,1424959,135558,63992,71566,1289401,664863,624538,,311089,40826,18041,22785,270263,137524,132739,,340897,61191,27257,33934,279706,146448,133258,,21445,2783,1333,1450,18662,9497,9165,,253966,23784,10615,13169,230182,103765,126417,,37070,8236,3556,4680,28834,14794,14040,,276378,62606,29578,33028,213772,105848,107924,,1777294,189388,88351,101037,1587906,816958,770948,,2116718,274760,587588,702767,359703,134479,36237,21184,,1059038,139594,301913,346012,176463,61416,21702,11938,,1057680,135166,285675,356755,183240,73063,14535,9246,,1429447,452720,349675,320796,2662,128569,175025,53554,121471,,1141952,67384,37503,40748,46462,46901,51893,47052,50760,43755,88979,118447,155803,114183,72489,81718,77875,,3059238,1541789,92638,98171,104066,60095,127781,225322,210823,202732,191222,145580,65338,18021,1517449,88791,92791,100108,57370,120709,217477,202487,193702,190546,156269,71380,25819,,3018139,388814,178731,210083,2629325,1334834,1294491,,3059238,1799601,284412,37850,255094,21810,345215,315256,,829018,770283,58735,,709941,659164,50777
New Hampshire,,53224,8044,3594,4450,45180,23774,21406,,1186782,81602,35488,46114,1105180,555032,550148,,48533,4889,2105,2784,43644,22108,21536,,10801,1213,605,608,9588,5167,4421,,482,41,20,21,441,142,299,,35208,3067,1269,1798,32141,15368,16773,,1920,136,36,100,1784,960,824,,19667,3284,1608,1676,16383,9489,6894,,1214071,85799,37267,48532,1128272,567238,561034,,986106,62809,269342,276920,230314,110986,19946,15789,,486409,35312,142062,128941,112298,47550,11014,9232,,499697,27497,127280,147979,118016,63436,8932,6557,,738506,314716,114676,154949,2724,62480,88961,45725,43236,,540498,18333,15565,16254,17256,17867,18376,18152,17648,17722,35697,50391,73882,61870,44265,57634,59586,,1372175,683846,32295,36298,39656,25252,63936,88591,81058,93522,107461,75070,30331,10376,688329,31214,32468,39337,24095,61518,82968,79577,93706,109087,79052,37432,17875,,1330682,98429,42910,55519,1232253,620472,611781,,1372175,1249067,21834,1988,36625,513,11258,50890,,403432,386756,16676,,364021,351750,12271
New Jersey,,1894935,322473,139229,183244,1572462,810540,761922,,4886745,294864,129656,165208,4591881,2270916,2320965,,609019,79904,36227,43677,529115,263944,265171,,665810,129781,56814,72967,536029,281272,254757,,3198,540,253,287,2658,1469,1189,,886145,54435,25459,28976,831710,410644,421066,,24184,4345,1909,2436,19839,11001,8838,,1176507,195860,84210,111650,980647,463829,516818,,5693630,419031,181390,237641,5274599,2619609,2654990,,6411606,608877,1693560,1448316,1611515,763884,178003,107451,,3096343,305597,828670,687796,765676,345393,101971,61240,,3315263,303280,864890,760520,845839,418491,76032,46211,,4588902,2070173,699743,970893,6921,314925,526247,175216,351031,,3397156,147115,109383,97910,110066,105606,105000,102428,103871,90630,197644,275404,410984,341188,267947,369660,562320,,9234024,4539311,271646,287097,299463,185406,399356,597528,598712,624281,622721,403049,182138,67914,4694713,258730,270750,290610,176740,382620,582308,598294,640890,652356,463869,246504,131042,,9058493,883896,386262,497634,8174597,4051768,4122829,,9234024,5787873,1225321,24719,900516,3303,675022,617270,,2571973,2412912,159061,,2321902,2175990,145912
New Mexico,,1025895,214875,98293,116582,811020,407648,403372,,745948,88043,40505,47538,657905,328630,329275,,255822,48035,22180,25855,207787,103840,103947,,200143,47348,21620,25728,152795,78610,74185,,1668,317,237,80,1351,703,648,,33621,3645,1349,2296,29976,13605,16371,,194572,61147,29329,31818,133425,64082,69343,,41937,9446,5187,4259,32491,17977,14514,,1339857,208958,94914,114044,1130899,565921,564978,,1426639,188715,371398,459485,225538,127471,27269,26763,,699039,98551,195280,215761,103784,53962,14768,16933,,727600,90164,176118,243724,121754,73509,12501,9830,,889428,343312,172982,187244,8045,87504,90341,30266,60075,,797596,64161,43831,40443,41481,40098,39859,34588,35206,33505,62084,78979,92594,65630,42932,43448,38757,,2109366,1048448,61578,68043,74617,43125,102046,144760,131926,119662,132493,106777,47392,16029,1060918,59138,64912,72068,41845,95355,135745,128797,121435,142280,118105,55735,25503,,2067620,378896,174816,204080,1688724,844738,843986,,2109366,1364638,44792,197712,34313,1705,204742,261464,,499534,465393,34141,,453030,424035,28995
