age,sex,state,value
55-64,F,Louisiana,314197
65-74,F,Louisiana,236480
75-84,F,Louisiana,115243
85+,F,Louisiana,50264
<5,F,Maine,31033
5-9,F,Maine,33921
10-14,F,Maine,35708
15-17,F,Maine,22913
18-24,F,Maine,52569
25-34,F,Maine,80921
35-44,F,Maine,79853
45-54,F,Maine,90204
55-64,F,Maine,109986
65-74,F,Maine,88670
75-84,F,Maine,42366
85+,F,Maine,20594
<5,F,Maryland,178187
5-9,F,Maryland,185444
10-14,F,Maryland,192426
15-17,F,Maryland,115580
18-24,F,Maryland,263663
25-34,F,Maryland,417624
35-44,F,Maryland,410034
45-54,F,Maryland,421672
55-64,F,Maryland,433923
65-74,F,Maryland,308315
75-84,F,Maryland,152385
85+,F,Maryland,74146
<5,F,Massachusetts,174546
5-9,F,Massachusetts,182121
10-14,F,Massachusetts,197419
15-17,F,Massachusetts,124120
18-24,F,Massachusetts,353284
25-34,F,Massachusetts,494669
35-44,F,Massachusetts,440996
45-54,F,Massachusetts,468840
55-64,F,Massachusetts,494471
65-74,F,Massachusetts,364247
75-84,F,Massachusetts,179444
85+,F,Massachusetts,104521
<5,F,Michigan,275955
5-9,F,Michigan,288805
10-14,F,Michigan,309219
15-17,F,Michigan,192111
18-24,F,Michigan,466189
25-34,F,Michigan,640235
35-44,F,Michigan,595069
45-54,F,Michigan,643527
55-64,F,Michigan,719772
65-74,F,Michigan,547999
75-84,F,Michigan,266360
85+,F,Michigan,133946
<5,F,Minnesota,170331
5-9,F,Minnesota,179033
10-14,F,Minnesota,187238
15-17,F,Minnesota,110156
18-24,F,Minnesota,245995
25-34,F,Minnesota,370288
35-44,F,Minnesota,361112
45-54,F,Minnesota,339102
55-64,F,Minnesota,381072
65-74,F,Minnesota,275175
75-84,F,Minnesota,138605
85+,F,Minnesota,73230
<5,F,Mississippi,88560
5-9,F,Mississippi,94546
10-14,F,Mississippi,102156
15-17,F,Mississippi,59917
18-24,F,Mississippi,141196
25-34,F,Mississippi,192844
35-44,F,Mississippi,190763
45-54,F,Mississippi,187899
55-64,F,Mississippi,200318
65-74,F,Mississippi,153935
75-84,F,Mississippi,78431
85+,F,Mississippi,32203
<5,F,Missouri,179003
5-9,F,Missouri,183572
10-14,F,Missouri,198719
15-17,F,Missouri,117561
18-24,F,Missouri,275037
25-34,F,Missouri,407488
35-44,F,Missouri,380073
45-54,F,Missouri,374543
55-64,F,Missouri,425519
65-74,F,Missouri,324210
75-84,F,Missouri,169217
85+,F,Missouri,78851
<5,F,Montana,29140
5-9,F,Montana,31527
10-14,F,Montana,32575
15-17,F,Montana,19472
18-24,F,Montana,46345
25-34,F,Montana,67748
35-44,F,Montana,64583
45-54,F,Montana,59516
55-64,F,Montana,76848
65-74,F,Montana,62660
75-84,F,Montana,29182
85+,F,Montana,12711
<5,F,Nebraska,63563
5-9,F,Nebraska,65190
10-14,F,Nebraska,67848
15-17,F,Nebraska,39292
18-24,F,Nebraska,93432
25-34,F,Nebraska,124874
35-44,F,Nebraska,120806
45-54,F,Nebraska,108169
55-64,F,Nebraska,122731
65-74,F,Nebraska,93193
75-84,F,Nebraska,46589
85+,F,Nebraska,26930
<5,F,Nevada,88791
5-9,F,Nevada,92791
10-14,F,Nevada,100108
15-17,F,Nevada,57370
18-24,F,Nevada,120709
25-34,F,Nevada,217477
35-44,F,Nevada,202487
45-54,F,Nevada,193702
55-64,F,Nevada,190546
65-74,F,Nevada,156269
75-84,F,Nevada,71380
85+,F,Nevada,25819
<5,F,NewHampshire,31214
5-9,F,NewHampshire,32468
10-14,F,NewHampshire,39337
15-17,F,NewHampshire,24095
18-24,F,NewHampshire,61518
25-34,F,NewHampshire,82968
35-44,F,NewHampshire,79577
45-54,F,NewHampshire,93706
55-64,F,NewHampshire,109087
65-74,F,NewHampshire,79052
75-84,F,NewHampshire,37432
85+,F,NewHampshire,17875
<5,F,NewJersey,258730
5-9,F,NewJersey,270750
10-14,F,NewJersey,290610
15-17,F,NewJersey,176740
18-24,F,NewJersey,382620
25-34,F,NewJersey,582308
35-44,F,NewJersey,598294
45-54,F,NewJersey,640890
55-64,F,NewJersey,652356
65-74,F,NewJersey,463869
75-84,F,NewJersey,246504
85+,F,NewJersey,131042
<5,F,NewMexico,59138
5-9,F,NewMexico,64912
10-14,F,NewMexico,72068
15-17,F,NewMexico,41845
18-24,F,NewMexico,95355
25-34,F,NewMexico,135745
35-44,F,NewMexico,128797
45-54,F,NewMexico,121435
55-64,F,NewMexico,142280
65-74,F,NewMexico,118105
75-84,F,NewMexico,55735
85+,F,NewMexico,25503
<5,F,NewYork,564209
5-9,F,NewYork,553646
10-14,F,NewYork,586601
15-17,F,NewYork,353650
18-24,F,NewYork,905794
25-34,F,NewYork,1455137
35-44,F,NewYork,1280662
45-54,F,NewYork,1321767
55-64,F,NewYork,1393196
65-74,F,NewYork,1034154
75-84,F,NewYork,548526
85+,F,NewYork,295692
<5,F,NorthCarolina,289115
5-9,F,NorthCarolina,308334
10-14,F,NorthCarolina,329006
15-17,F,NorthCarolina,199221
18-24,F,NorthCarolina,475379
25-34,F,NorthCarolina,695259
35-44,F,NorthCarolina,668015
45-54,F,NorthCarolina,692480
55-64,F,NorthCarolina,702480
65-74,F,NorthCarolina,553464
75-84,F,NorthCarolina,268601
85+,F,NorthCarolina,118002
<5,F,NorthDakota,25805
5-9,F,NorthDakota,25531
10-14,F,NorthDakota,24432
15-17,F,NorthDakota,14047
18-24,F,NorthDakota,40189
25-34,F,NorthDakota,52846
35-44,F,NorthDakota,44343
45-54,F,NorthDakota,39041
55-64,F,NorthDakota,46698
65-74,F,NorthDakota,33768
75-84,F,NorthDakota,18900
85+,F,NorthDakota,10651
<5,F,Ohio,337131
